"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2020","486.66","487.12","488.83","486.00","0.03K","0.34%"
"05/12/2020","485.00","486.00","488.42","486.00","0.04K","0.00%"
"05/11/2020","485.00","484.10","487.01","484.02","0.03K","0.39%"
"05/08/2020","483.10","483.12","485.30","483.10","0.03K","0.20%"
"05/07/2020","482.12","481.95","484.07","481.48","0.03K","0.44%"
"05/06/2020","480.00","480.65","481.98","480.65","0.02K","0.07%"
"05/05/2020","479.65","480.00","481.89","479.50","0.04K","0.14%"
"05/04/2020","479.00","479.25","482.30","479.22","0.03K","0.16%"
"05/01/2020","478.25","479.25","480.00","479.10","0.01K","0.00%"
"04/30/2020","478.25","479.51","480.50","478.63","0.02K","0.26%"
"04/29/2020","477.00","479.62","480.31","478.76","0.02K","-0.21%"
"04/28/2020","478.00","479.55","481.70","479.25","0.04K","-0.11%"
"04/27/2020","478.55","479.67","481.45","478.77","0.03K","-0.03%"
"04/24/2020","478.67","479.65","480.00","478.80","0.01K","0.00%"
"04/23/2020","478.65","479.80","481.15","479.33","0.02K","-0.03%"
"04/22/2020","478.80","480.85","481.42","478.90","0.04K","-0.22%"
"04/21/2020","479.85","482.40","482.60","479.90","0.02K","-0.24%"
"04/20/2020","481.00","483.95","483.98","481.00","0.03K","-0.40%"
"04/17/2020","482.95","484.55","484.98","482.98","0.02K","-0.12%"
"04/16/2020","483.55","486.10","486.55","484.27","0.03K","-0.32%"
"04/15/2020","485.10","485.50","486.56","484.60","0.02K","0.12%"
"04/14/2020","484.50","486.50","486.75","484.75","0.02K","-0.21%"
"04/13/2020","485.50","491.18","491.18","484.30","0.01K","-0.95%"
"04/10/2020","490.18","493.05","493.05","491.00","0.01K","-0.38%"
"04/09/2020","492.05","496.50","496.50","491.30","0.01K","-1.19%"
"04/08/2020","498.00","499.35","500.17","499.15","0.01K","-0.07%"
"04/07/2020","498.35","501.25","501.75","497.90","1.87K","-0.23%"
"04/06/2020","499.50","501.25","502.27","499.70","2.42K","0.00%"
"04/03/2020","499.50","501.75","502.25","499.85","5.75K","-0.20%"
"04/02/2020","500.50","501.75","502.70","500.75","2.17K","0.00%"
"04/01/2020","500.50","501.75","502.95","501.50","2.80K","0.00%"
"03/31/2020","500.50","497.25","502.80","497.25","4.25K","0.81%"
"03/30/2020","496.50","496.25","498.30","496.25","3.45K","0.40%"
"03/27/2020","494.50","494.50","497.22","494.50","0.68K","0.10%"
"03/26/2020","494.00","494.00","497.30","494.00","0.71K","0.20%"
"03/25/2020","493.00","493.75","495.93","493.50","1.72K","0.10%"
"03/24/2020","492.50","493.75","495.71","493.75","2.81K","0.00%"
"03/23/2020","492.50","493.55","495.01","493.20","3.06K","0.00%"
"03/20/2020","492.50","491.25","494.10","491.25","3.29K","0.41%"
"03/19/2020","490.50","490.25","492.80","490.00","1.03K","0.41%"
"03/18/2020","488.50","489.75","491.38","488.65","1.59K","0.21%"
"03/17/2020","487.50","489.75","490.39","488.38","2.60K","0.31%"
"03/16/2020","486.00","487.83","487.92","487.40","0.06K","-0.10%"
"03/13/2020","486.50","484.25","490.00","484.17","3.25K","0.62%"
"03/12/2020","483.50","483.50","485.10","482.02","4.16K","0.31%"
"03/11/2020","482.00","483.00","483.90","482.01","8.23K","0.21%"
"03/10/2020","481.00","478.75","483.70","478.75","7.94K","0.73%"
"03/09/2020","477.50","479.80","481.40","478.50","4.42K","-0.10%"
"03/06/2020","478.00","479.60","481.10","478.50","7.10K","0.00%"
"03/05/2020","478.00","479.00","480.30","479.00","7.18K","0.00%"
"03/04/2020","478.00","478.75","479.85","478.42","7.23K","0.10%"
"03/03/2020","477.50","478.75","480.00","478.13","7.90K","0.00%"
"03/02/2020","477.50","478.58","479.85","478.02","4.76K","0.10%"
"02/28/2020","477.00","478.25","479.50","477.65","1.49K","0.10%"
"02/27/2020","476.50","478.25","478.80","477.50","4.36K","0.00%"
"02/26/2020","476.50","478.25","479.20","477.05","7.88K","0.00%"
"02/25/2020","476.50","478.25","478.70","477.35","8.41K","0.00%"
"02/24/2020","476.50","478.33","478.71","477.55","5.60K","0.00%"
"02/21/2020","476.50","478.35","479.25","477.45","3.28K","0.00%"
"02/20/2020","476.50","478.50","478.81","477.67","7.21K","-0.10%"
"02/19/2020","477.00","478.50","478.96","478.20","7.14K","0.00%"
"02/18/2020","477.00","478.50","479.27","478.30","5.25K","0.00%"
"02/17/2020","477.00","479.04","479.30","478.50","3.30K","0.00%"
"02/14/2020","477.00","478.50","479.65","478.50","4.51K","-0.23%"
"02/13/2020","478.10","478.75","479.85","478.50","3.47K","0.23%"
"02/12/2020","477.00","478.75","479.85","478.50","5.37K","0.00%"
"02/11/2020","477.00","478.75","479.80","478.45","4.14K","0.00%"
"02/10/2020","477.00","478.50","479.80","478.14","3.55K","0.00%"
"02/07/2020","477.00","478.50","479.15","478.23","3.81K","0.00%"
"02/06/2020","477.00","478.50","479.55","478.33","6.23K","0.00%"
"02/05/2020","477.00","478.50","478.88","477.80","7.39K","0.00%"
"02/04/2020","477.00","478.50","479.42","478.00","7.25K","-0.17%"
"02/03/2020","477.80","478.58","478.92","478.05","3.33K","0.38%"
"01/31/2020","476.00","478.50","479.45","477.50","2.79K","-0.21%"
"01/30/2020","477.00","478.50","479.30","478.20","4.73K","0.00%"
"01/29/2020","477.00","478.50","479.42","478.15","2.81K","0.00%"
"01/28/2020","477.00","478.50","478.93","478.41","4.38K","0.00%"
"01/27/2020","477.00","478.85","478.93","478.40","2.68K","-0.18%"
"01/24/2020","477.85","478.50","479.55","477.85","4.44K","0.18%"
"01/23/2020","477.00","478.25","479.85","478.11","4.91K","0.10%"
"01/22/2020","476.50","478.25","479.70","477.94","4.96K","0.00%"
"01/21/2020","476.50","478.75","480.10","478.00","4.93K","-0.21%"
"01/20/2020","477.50","479.58","480.90","478.50","3.08K","-0.10%"
"01/17/2020","478.00","479.75","480.30","479.00","4.89K","0.00%"
"01/16/2020","478.00","479.75","480.40","478.50","6.52K","0.00%"
"01/15/2020","478.00","479.75","480.55","479.00","6.39K","0.00%"
"01/14/2020","478.00","478.75","480.50","478.50","5.97K","0.10%"
"01/13/2020","477.50","478.75","480.10","478.00","3.04K","0.00%"
"01/10/2020","477.50","478.75","479.80","478.50","5.51K","0.00%"
"01/09/2020","477.50","478.75","479.80","478.45","4.52K","0.00%"
"01/08/2020","477.50","478.75","479.80","478.50","3.10K","0.00%"
"01/07/2020","477.50","478.75","479.80","478.50","4.87K","0.00%"
"01/06/2020","477.50","479.68","479.70","478.50","2.53K","0.00%"
"01/03/2020","477.50","479.00","479.70","478.50","1.34K","-0.10%"
"01/02/2020","478.00","479.00","479.70","478.50","2.26K","0.00%"
"01/01/2020","478.00","479.00","479.70","479.00","2.04K","0.00%"
"12/31/2019","478.00","479.00","479.70","479.00","1.58K","0.00%"
"12/30/2019","478.00","479.50","480.00","478.50","1.02K","0.00%"
"12/27/2019","478.00","478.25","480.40","478.25","1.89K","0.31%"
"12/26/2019","476.50","478.25","480.10","478.25","1.34K","0.00%"
"12/25/2019","476.50","478.25","480.20","478.25","2.58K","0.00%"
"12/24/2019","476.50","478.75","480.20","477.68","2.86K","0.00%"
"12/23/2019","476.50","478.33","479.50","477.15","2.26K","0.00%"
"12/20/2019","476.50","478.25","479.00","476.67","2.06K","0.00%"
"12/19/2019","476.50","478.25","478.95","476.75","1.97K","0.00%"
"12/18/2019","476.50","478.00","478.55","476.65","1.57K","0.11%"
"12/17/2019","476.00","477.75","478.45","476.95","1.35K","0.11%"
"12/16/2019","475.50","477.50","478.35","476.71","0.47K","-0.11%"
"12/13/2019","476.00","478.00","478.70","476.70","1.71K","0.00%"
"12/12/2019","476.00","478.00","478.55","476.86","2.35K","-0.21%"
"12/11/2019","477.01","478.00","478.51","476.30","2.93K","0.21%"
"12/10/2019","476.00","478.25","478.51","476.25","2.48K","-0.10%"
"12/09/2019","476.50","478.02","478.51","476.75","1.47K","0.00%"
"12/06/2019","476.50","478.25","478.52","476.90","1.74K","0.00%"
"12/05/2019","476.50","478.25","478.97","475.50","2.75K","0.00%"
"12/04/2019","476.50","478.00","478.51","476.75","2.70K","0.11%"
"12/03/2019","476.00","478.00","478.52","476.70","2.47K","0.00%"
"12/02/2019","476.00","477.88","478.52","476.75","1.78K","0.00%"
"11/29/2019","476.00","478.00","479.00","476.50","1.66K","0.00%"
"11/28/2019","476.00","477.50","478.50","476.50","2.30K","0.21%"
"11/27/2019","475.00","477.50","478.05","476.25","2.40K","0.00%"
"11/26/2019","475.00","477.50","478.00","476.30","2.08K","0.00%"
"11/25/2019","475.00","476.93","478.00","475.80","1.51K","0.00%"
"11/22/2019","475.00","477.50","478.00","476.10","2.18K","0.00%"
"11/21/2019","475.00","477.50","478.00","476.20","3.21K","0.00%"
"11/20/2019","475.00","477.50","478.10","476.45","3.04K","0.00%"
"11/19/2019","475.00","477.75","478.15","475.98","2.89K","-0.11%"
"11/18/2019","475.50","477.57","478.30","476.50","2.41K","-0.21%"
"11/15/2019","476.50","478.00","478.55","476.75","5.77K","0.11%"
"11/14/2019","476.00","477.45","478.60","476.00","2.60K","-0.09%"
"11/13/2019","476.45","478.00","478.23","476.55","3.20K","0.09%"
"11/12/2019","476.00","478.00","478.25","477.10","5.85K","0.00%"
"11/11/2019","476.00","477.15","478.11","476.50","4.78K","0.11%"
"11/08/2019","475.50","477.75","478.20","476.45","4.47K","0.00%"
"11/07/2019","475.50","477.75","478.40","476.40","9.46K","0.00%"
"11/06/2019","475.50","477.50","478.25","476.25","9.12K","0.11%"
"11/05/2019","475.00","476.55","477.79","475.75","3.42K","-0.12%"
"11/04/2019","475.55","476.45","476.95","475.25","0.51K","0.02%"
"11/01/2019","475.45","476.25","476.80","475.77","0.68K","0.20%"
"10/31/2019","474.50","476.15","476.85","475.54","0.87K","-0.14%"
"10/30/2019","475.15","476.12","476.60","475.50","0.51K","0.01%"
"10/29/2019","475.12","476.02","476.58","475.35","0.06K","0.02%"
"10/28/2019","475.02","475.80","476.52","474.85","0.11K","0.05%"
"10/25/2019","474.80","475.85","477.55","475.40","1.05K","-0.01%"
