"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2012","523.350","520.050","524.710","520.010","","0.36%"
"11/21/2012","521.475","520.890","522.635","517.600","","-0.18%"
"11/20/2012","522.395","520.250","522.805","518.180","","0.20%"
"11/19/2012","521.365","517.570","521.815","517.160","","0.58%"
"11/16/2012","518.375","518.870","520.445","515.130","","-0.27%"
"11/15/2012","519.760","517.680","521.310","516.860","","0.17%"
"11/14/2012","518.890","518.360","521.640","517.190","","-0.13%"
"11/13/2012","519.550","519.080","520.530","516.940","","-0.19%"
"11/12/2012","520.515","519.640","521.705","518.590","","-0.05%"
"11/09/2012","520.790","516.330","522.720","515.610","","0.68%"
"11/08/2012","517.265","517.060","518.885","515.000","","-0.20%"
"11/07/2012","518.320","518.970","522.780","515.730","","-0.37%"
"11/06/2012","520.270","518.000","520.790","516.820","","0.20%"
"11/05/2012","519.250","519.250","522.690","516.980","","-0.38%"
"11/02/2012","521.205","523.380","525.175","519.170","","-0.69%"
"11/01/2012","524.815","524.720","526.605","522.690","","-0.26%"
"10/31/2012","526.175","524.520","528.725","524.230","","0.07%"
"10/30/2012","525.790","522.450","526.890","521.800","","0.36%"
"10/29/2012","523.900","522.860","524.750","521.690","","-0.04%"
"10/26/2012","524.135","523.060","525.145","520.390","","0.00%"
"10/25/2012","524.150","524.470","527.540","522.490","","-0.37%"
"10/24/2012","526.075","525.120","527.085","522.530","","-0.10%"
"10/23/2012","526.600","528.810","530.570","523.830","","-0.63%"
"10/22/2012","529.930","527.470","531.560","527.030","","0.36%"
"10/19/2012","528.040","528.520","530.590","526.290","","-0.34%"
"10/18/2012","529.845","531.200","532.725","528.030","","-0.46%"
"10/17/2012","532.305","531.660","534.225","529.770","","0.19%"
"10/16/2012","531.295","527.590","533.585","527.350","","0.44%"
"10/15/2012","528.985","527.920","530.245","524.950","","-0.02%"
"10/12/2012","529.110","524.880","529.600","524.550","","0.56%"
"10/11/2012","526.150","521.510","527.200","520.010","","0.53%"
"10/10/2012","523.390","524.740","526.370","520.950","","-0.51%"
"10/09/2012","526.090","528.360","530.650","523.920","","-0.69%"
"10/08/2012","529.765","530.610","532.125","527.100","","-0.50%"
"10/05/2012","532.435","530.440","533.985","529.420","","0.12%"
"10/04/2012","531.785","526.000","532.355","525.880","","0.87%"
"10/03/2012","527.190","526.330","528.490","524.700","","-0.10%"
"10/02/2012","527.700","524.380","529.740","524.130","","0.37%"
"10/01/2012","525.750","519.620","527.990","517.840","","0.48%"
"09/28/2012","523.240","522.370","526.610","521.140","","-0.09%"
"09/27/2012","523.725","520.670","524.295","518.850","","0.35%"
"09/26/2012","521.920","522.530","524.270","519.140","","-0.36%"
"09/25/2012","523.780","525.600","527.830","522.290","","-0.60%"
"09/24/2012","526.935","527.430","528.935","523.940","","-0.35%"
"09/21/2012","528.790","526.990","531.720","526.540","","0.06%"
"09/20/2012","528.485","529.260","531.205","524.880","","-0.42%"
"09/19/2012","530.725","530.930","533.905","527.430","","-0.33%"
"09/18/2012","532.500","533.740","535.670","530.160","","-0.55%"
"09/17/2012","535.460","534.230","537.660","532.440","","-0.03%"
"09/14/2012","535.645","529.140","537.355","528.850","","0.97%"
"09/13/2012","530.480","526.970","531.130","523.880","","0.42%"
"09/12/2012","528.255","526.210","531.215","524.770","","0.13%"
"09/11/2012","527.575","524.390","528.395","522.770","","0.39%"
"09/10/2012","525.530","527.050","528.430","524.150","","-0.44%"
"09/07/2012","527.845","519.720","527.845","519.520","","1.31%"
"09/06/2012","521.005","517.900","521.915","516.050","","0.21%"
"09/05/2012","519.935","513.870","520.845","510.000","","0.97%"
"09/04/2012","514.915","512.210","517.285","511.920","","0.23%"
"09/03/2012","513.750","512.010","516.460","511.110","","0.00%"
"08/31/2012","513.770","510.120","516.260","508.380","","0.43%"
"08/30/2012","511.580","511.890","514.450","509.430","","-0.30%"
"08/29/2012","513.105","513.160","514.905","511.320","","-0.28%"
"08/28/2012","514.535","510.500","515.655","509.110","","0.40%"
"08/27/2012","512.500","510.910","514.600","510.130","","0.14%"
"08/24/2012","511.765","512.530","514.125","509.220","","-0.46%"
"08/23/2012","514.120","511.770","515.260","511.390","","0.23%"
"08/22/2012","512.965","509.980","513.535","507.720","","0.33%"
"08/21/2012","511.270","506.100","512.050","505.980","","0.77%"
"08/20/2012","507.360","505.940","508.390","504.010","","-0.04%"
"08/17/2012","507.545","506.560","509.515","504.380","","-0.05%"
"08/16/2012","507.810","503.690","508.550","502.410","","0.54%"
"08/15/2012","505.080","505.650","507.950","502.740","","-0.39%"
"08/14/2012","507.050","509.850","512.770","505.530","","-0.86%"
"08/13/2012","511.470","508.030","513.200","506.910","","0.77%"
"08/10/2012","507.560","508.690","510.060","504.250","","-0.55%"
"08/09/2012","510.390","511.250","513.780","507.160","","-0.46%"
"08/08/2012","512.755","512.620","514.775","509.640","","-0.31%"
"08/07/2012","514.330","511.290","515.570","510.430","","0.32%"
"08/06/2012","512.680","507.620","514.000","506.220","","0.69%"
"08/03/2012","509.170","496.980","509.410","496.290","","2.18%"
"08/02/2012","498.285","498.900","507.335","494.990","","-0.35%"
"08/01/2012","500.025","501.060","504.145","498.410","","-0.51%"
"07/31/2012","502.600","498.290","503.660","497.840","","0.60%"
"07/30/2012","499.595","504.510","505.975","496.860","","-1.47%"
"07/27/2012","507.070","503.440","509.900","501.840","","0.33%"
"07/26/2012","505.425","498.150","507.395","496.760","","1.07%"
"07/25/2012","500.095","494.580","500.095","492.060","","1.51%"
"07/24/2012","492.650","496.550","498.870","490.630","","-0.94%"
"07/23/2012","497.340","496.920","498.760","494.140","","-0.70%"
"07/20/2012","500.870","505.240","506.660","499.080","","-1.06%"
