FX,possition,date,name,value
EUR,buy,2024-04-03T10:00:00Z,mean_value,417.2173913043478
EUR,buy,2024-04-03T10:00:00Z,max_value,418
EUR,buy,2024-04-03T10:00:00Z,min_value,417
EUR,buy,2024-04-03T11:00:00Z,mean_value,417.39285714285717
EUR,buy,2024-04-03T11:00:00Z,max_value,418
EUR,buy,2024-04-03T11:00:00Z,min_value,417
EUR,buy,2024-04-03T12:00:00Z,mean_value,417.38
EUR,buy,2024-04-03T12:00:00Z,max_value,418
EUR,buy,2024-04-03T12:00:00Z,min_value,417
EUR,buy,2024-04-03T13:00:00Z,mean_value,417.1136363636364
EUR,buy,2024-04-03T13:00:00Z,max_value,418
EUR,buy,2024-04-03T13:00:00Z,min_value,417
EUR,buy,2024-04-03T14:00:00Z,mean_value,417.04
EUR,buy,2024-04-03T14:00:00Z,max_value,418
EUR,buy,2024-04-03T14:00:00Z,min_value,417
EUR,buy,2024-04-03T15:00:00Z,mean_value,417.17391304347825
EUR,buy,2024-04-03T15:00:00Z,max_value,418
EUR,buy,2024-04-03T15:00:00Z,min_value,417
EUR,buy,2024-04-03T16:00:00Z,mean_value,417.48979591836735
EUR,buy,2024-04-03T16:00:00Z,max_value,418
EUR,buy,2024-04-03T16:00:00Z,min_value,417
EUR,buy,2024-04-03T17:00:00Z,mean_value,417.52272727272725
EUR,buy,2024-04-03T17:00:00Z,max_value,418
EUR,buy,2024-04-03T17:00:00Z,min_value,417
EUR,buy,2024-04-03T18:00:00Z,mean_value,417.6041666666667
EUR,buy,2024-04-03T18:00:00Z,max_value,418
EUR,buy,2024-04-03T18:00:00Z,min_value,417
EUR,buy,2024-04-03T19:00:00Z,mean_value,417.51428571428573
EUR,buy,2024-04-03T19:00:00Z,max_value,418
EUR,buy,2024-04-03T19:00:00Z,min_value,417
EUR,buy,2024-04-03T20:00:00Z,mean_value,417.5357142857143
EUR,buy,2024-04-03T20:00:00Z,max_value,418
EUR,buy,2024-04-03T20:00:00Z,min_value,417
EUR,buy,2024-04-03T21:00:00Z,mean_value,417.6470588235294
EUR,buy,2024-04-03T21:00:00Z,max_value,418
EUR,buy,2024-04-03T21:00:00Z,min_value,417
EUR,buy,2024-04-03T22:00:00Z,mean_value,417.44444444444446
EUR,buy,2024-04-03T22:00:00Z,max_value,418
EUR,buy,2024-04-03T22:00:00Z,min_value,417
EUR,buy,2024-04-03T23:00:00Z,mean_value,417.3
EUR,buy,2024-04-03T23:00:00Z,max_value,418
EUR,buy,2024-04-03T23:00:00Z,min_value,417
EUR,buy,2024-04-04T00:00:00Z,mean_value,417
EUR,buy,2024-04-04T00:00:00Z,max_value,417
EUR,buy,2024-04-04T00:00:00Z,min_value,417
EUR,buy,2024-04-04T01:00:00Z,mean_value,417
EUR,buy,2024-04-04T01:00:00Z,max_value,417
EUR,buy,2024-04-04T01:00:00Z,min_value,417
EUR,buy,2024-04-04T04:00:00Z,mean_value,417
EUR,buy,2024-04-04T04:00:00Z,max_value,417
EUR,buy,2024-04-04T04:00:00Z,min_value,417
EUR,buy,2024-04-04T05:00:00Z,mean_value,417
EUR,buy,2024-04-04T05:00:00Z,max_value,417
EUR,buy,2024-04-04T05:00:00Z,min_value,417
EUR,buy,2024-04-04T06:00:00Z,mean_value,417
EUR,buy,2024-04-04T06:00:00Z,max_value,417
EUR,buy,2024-04-04T06:00:00Z,min_value,417
EUR,buy,2024-04-04T07:00:00Z,mean_value,417.3333333333333
EUR,buy,2024-04-04T07:00:00Z,max_value,418
EUR,buy,2024-04-04T07:00:00Z,min_value,417
EUR,buy,2024-04-04T08:00:00Z,mean_value,417.85
EUR,buy,2024-04-04T08:00:00Z,max_value,418
EUR,buy,2024-04-04T08:00:00Z,min_value,417
EUR,buy,2024-04-04T09:00:00Z,mean_value,418
EUR,buy,2024-04-04T09:00:00Z,max_value,418
EUR,buy,2024-04-04T09:00:00Z,min_value,418
EUR,buy,2024-04-04T10:00:00Z,mean_value,417.95
EUR,buy,2024-04-04T10:00:00Z,max_value,418
EUR,buy,2024-04-04T10:00:00Z,min_value,417
EUR,buy,2024-04-04T11:00:00Z,mean_value,417.975
EUR,buy,2024-04-04T11:00:00Z,max_value,418
EUR,buy,2024-04-04T11:00:00Z,min_value,417
EUR,buy,2024-04-04T12:00:00Z,mean_value,418.9166666666667
EUR,buy,2024-04-04T12:00:00Z,max_value,420
EUR,buy,2024-04-04T12:00:00Z,min_value,418
EUR,buy,2024-04-04T13:00:00Z,mean_value,419.9024390243902
EUR,buy,2024-04-04T13:00:00Z,max_value,420
EUR,buy,2024-04-04T13:00:00Z,min_value,418
