year,commodity_code,commodity,reexports,X,pct,pct_cum,reexports_text,pct_text,prop_reexport,prop_reexport_text
2019,846693,Parts & accessories suited for use solely/principally with machines of headings 8456-8465; n.e.c. in heading no. 8466,25608.52,25608.52,2.797103338145134e-4,0.9816076169914134,0.0,0.0%,1,100.0%
2022,860719,"Railway or tramway locomotives or rolling stock; parts, axles and wheels, and parts thereof",25541.58,36080,1.7354710024363774e-5,0.9981615962494098,0.0,0.0%,0.7079151884700665,70.8%
2020,841931,NA,25500,25500,1.8722799118204916e-4,0.9895589279092329,0.0,0.0%,1,100.0%
2013,841939,"Dryers; for products n.e.c. in heading no. 8419, not used for domestic purposes",25476.84,28995.07,1.6750202163921747e-4,0.9939521478450154,0.0,0.0%,0.8786610965243402,87.9%
2014,841990,"Machinery, plant and laboratory equipment; parts of equipment for treating materials by a process involving a change of temperature",25438.89,68687.02,1.5472167830124384e-4,0.9943327693572905,0.0,0.0%,0.3703594944139373,37.0%
2022,848320,"Bearing housings, incorporating ball or roller bearings",25400.21,25400.21,1.725865350177808e-5,0.9981788549029116,0.0,0.0%,1,100.0%
2011,852859,"Monitors other than cathode-ray tube; n.e.c. in subheading 8528.52, whether or not colour",25396.77,25396.77,1.7773865233528574e-4,0.9917640599711394,0.0,0.0%,1,100.0%
2018,841931,NA,25363.7,69737.09,2.397112631171649e-4,0.9844497401988639,0.0,0.0%,0.3637045939255567,36.4%
2020,841920,"Sterilizers; for medical, surgical or laboratory use, not used for domestic purposes",25335.870000000003,25335.870000000003,1.8602290372351154e-4,0.9897449508129564,0.0,0.0%,1,100.0%
2021,880330,NA,25292.67,33950,1.5162749861560181e-4,0.9889281813534326,0.0,0.0%,0.7449976435935198,74.5%
2021,903039,"Instruments and apparatus; for measuring or checking voltage, current, resistance or power, with a recording device (excluding multimeters)",25255.179999999997,29053.44,1.5140274911611842e-4,0.9890795841025488,0.0,0.0%,0.8692664276588244,86.9%
2024,842542,"Jacks and hoists; hydraulic, of a kind used for raising vehicles",25217.61,25217.61,1.5909970517907186e-5,0.9990168225644965,0.0,0.0%,1,100.0%
2019,850490,"Electrical transformers, static converters and inductors; parts thereof",25200,25200,2.7524825378919736e-4,0.9818828652452026,0.0,0.0%,1,100.0%
2013,841490,"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",25181.08,25181.08,1.655574948486102e-4,0.994117705339864,0.0,0.0%,1,100.0%
2017,830241,"Mountings, fittings and similar articles; of base metal, suitable for buildings",25130.59,25130.59,2.7738399505144534e-4,0.9829047699878665,0.0,0.0%,1,100.0%
2017,854420,Insulated electric conductors; co-axial cable and other co-axial electric conductors,25092,25092,2.76958050082822e-4,0.9831817280379493,0.0,0.0%,1,100.0%
2011,846820,"Machinery and apparatus; gas operated machinery and apparatus n.e.c. in item no. 8468.10, for soldering, brazing or welding, whether or not capable of cutting",25065.06,805562.38,1.7541718829217564e-4,0.9919394771594315,0.0,0.0%,0.03111498329899666,3.1%
2022,741521,"Copper; washers, (including spring washers), not threaded",25055.940000000002,26787.100000000002,1.702473273336486e-5,0.9981958796356449,0.0,0.0%,0.9353733700176577,93.5%
2024,902750,"Instruments and apparatus; using optical radiations (UV, visible, IR), (other than spectrometers, spectrophotometers and spectrographs)",24986.34999999999,24986.35,1.576406692982047e-5,0.9990325866314264,0.0,0.0%,0.9999999999999997,100.0%
2015,853641,"Electrical apparatus; relays, (for a voltage not exceeding 60 volts)",24959.89,50553.2,2.8627300201049054e-4,0.9844041286195827,0.0,0.0%,0.49373511469105813,49.4%
2020,870380,Vehicles; with only electric motor for propulsion,24945.16,24945.16,1.8315420378489433e-4,0.9899281050167413,0.0,0.0%,1,100.0%
2023,852721,"Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles; combined with sound recording or reproducing apparatus",24941.899999999998,35115.6,6.0199947253867665e-6,0.9993538123846283,0.0,0.0%,0.7102797617013521,71.0%
2015,911120,"Watch cases; of base metal, whether or not gold-plated or silver-plated",24895.710000000003,492361.92000000004,2.8553690095920256e-4,0.9846896655205419,0.0,0.0%,0.05056384133037746,5.1%
2015,750712,NA,24833.88,24833.88,2.8482775281334495e-4,0.9849744932733553,0.0,0.0%,1,100.0%
2014,846229,"Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2",24800,24800,1.5083589031875398e-4,0.9944836052476094,0.0,0.0%,1,100.0%
2022,830140,"Locks; (other than those for motor vehicles or furniture), (key, combination or electrically operated), of base metal",24798,24798,1.684947051764898e-5,0.9982127291061625,0.0,0.0%,1,100.0%
2013,820231,"Tools, hand; circular saw blades (including slitting or slotting saw blades), with working part of steel",24792.84,33707.12,1.6300494182864344e-4,0.9942807102816927,0.0,0.0%,0.7355371802752653,73.6%
2022,851890,"Microphones, headphones, earphones, amplifier equipment; parts of the equipment of heading no. 8518",24759.33,24759.33,1.6823195454139122e-5,0.9982295523016167,0.0,0.0%,1,100.0%
2015,848340,"Gears and gearing; (not toothed wheels, chain sprockets and other transmission elements presented separately); ball or roller screws; gear boxes and other speed changers, including torque converters",24731.400000000016,54779.69,2.836523767501479e-4,0.9852581456501054,0.0,0.0%,0.4514702438075136,45.1%
2022,842122,Machinery; for filtering or purifying beverages other than water,24715.43,24715.43,1.6793366768127154e-5,0.9982463456683848,0.0,0.0%,1,100.0%
2020,903089,"Instruments and apparatus; n.e.c. in heading no. 9030, without a recording device",24677.71,37692.16,1.81190512559732e-4,0.990109295529301,0.0,0.0%,0.654717320525011,65.5%
2018,850120,Electric motors; universal AC/DC of an output exceeding 37.5W,24669.670000000002,24669.670000000002,2.3315201474483728e-4,0.9846828922136087,0.0,0.0%,1,100.0%
2015,732190,"Domestic appliances; non-electric, parts thereof, of iron or steel",24615.37,26263.46,2.823215913811707e-4,0.9855404672414866,0.0,0.0%,0.9372477959872766,93.7%
2020,940340,"Furniture; wooden, for kitchen use",24608.239999999998,24608.239999999998,1.806804447735588e-4,0.9902899759740746,0.0,0.0%,1,100.0%
2013,853649,"Electrical apparatus; relays, for a voltage exceeding 60 volts",24566.480000000003,24566.480000000003,1.6151669769717922e-4,0.9944422269793899,0.0,0.0%,1,100.0%
2012,854690,Electrical insulators; other than of glass and ceramics,24521.420000000002,142254.5,2.2815309590441525e-4,0.9914004462764293,0.0,0.0%,0.1723771128505601,17.2%
2021,732010,Iron or steel; leaf-springs and leaves therefor,24497.46,24497.46,1.468602793708913e-4,0.9892264443819196,0.0,0.0%,1,100.0%
2023,853229,"Electrical capacitors; fixed, n.e.c. in heading no. 8532",24480.83,24480.83,5.908710542223734e-6,0.9993597210951705,0.0,0.0%,1,100.0%
