"interview__key","date_q","hh_02","settlement","members","memnal","weight","fdpurch","fdcons","fdout","Z1","nfdpurch","nonfdgif","durble","expend","monincome","totincome","nonmoninc","y1_3amd.1.00","y1_3amd.2.00","y1_3amd.4.00","y1_3amd.6.00","y1_3amd.8.00","y1_3amd.9.00","y1_3amd.10.00","y1_3amd.12.00","y1_3amd.13.00","y1_3amd.14.00","y1_3amd.15.00","y1_3amd.17.00","y1_3amd.18.00","y1_3amd.19.00","y1_3amd.23.00","y1_3amd.26.00","y1_3amd.28.00","hhch_0_3_sum","hhch_4_5_sum","hhch_6_11_sum","hhch_12_17_sum","hheld_63_65_sum","hheld_66_70_sum","hheld_71_80_sum","hheld_over81_sum","hheld_over63_sum","headsex","headeduc","headmerstatus","headage","aec_r","poverty","pweight","ae_r","hous_01","hous_13","hous_16","hous_29_0__1","hous_29_0__2","hous_29_0__3","hous_29_0__4","hous_29_0__5","hous_29_0__6","hous_29_0__7","hous_39","hous_44","soc_01","soc_05","hous_47"
"00-52-07-86",2022.12,3,1,7,7,91.06,155190.18,0,0,0,95836.31,43400,0,294426.49,300000,343400,43400,300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,3,1,61,79638.29,1,637.45,4.57,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,1
"00-57-51-71",2022.07,4,1,2,1,109.82,12405.65,0,0,0,10863.1,14083.33,0,37352.08,0,14083.33,14083.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,56,91655.97,1,109.82,0.81,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-62-06-92",2022.09,10,2,2,2,40.75,6517.86,33911.85,0,0,32500,13300,0,86229.71,183833.33,231045.18,47211.85,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,59,79972.35,1,81.49,1.65,1,1,1,0,0,0,0,0,1,0,1,3,2,NA,NA
"00-64-17-44",2022.02,1,1,4,4,92.66,55336.61,0,2715.77,0,17880.65,62555.56,0,138488.59,294000,356555.56,62555.56,240000,NA,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,2,6,3,73,58518.96,1,370.63,3.18,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,2
"00-65-45-70",2022.07,9,2,5,5,117.31,122557.44,5261.32,0,0,29071.43,21975,0,178865.19,228600,255836.32,27236.32,200000,NA,NA,NA,NA,28600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,3,1,29,65004.62,1,586.57,3.14,1,1,1,0,0,0,0,0,1,0,1,3,2,NA,1
"00-67-85-47",2022.1,1,1,1,1,164.7,31090.18,0,0,0,3671.73,9360,0,44121.9,58500,67860,9360,NA,NA,40500,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,89,70184.56,1,164.7,0.81,2,1,1,0,0,1,0,0,0,0,1,5,1,12,2
"00-68-72-77",2022.06,9,2,2,2,117.31,55271.43,6831.74,0,0,24395.24,42152.78,0,128651.18,84775,133759.52,48984.52,NA,NA,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32400,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,2,3,3,69,86705.96,1,234.63,1.65,1,1,2,0,0,0,0,0,1,0,5,4,2,NA,2
"00-69-53-38",2022.05,1,1,4,4,164.7,131400,0,21726.19,0,53991.37,38583.33,0,245700.89,646500,685083.33,38583.33,600000,NA,46500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,3,3,65,92418.38,1,658.81,2.92,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,1
"00-72-74-12",2022.01,11,1,8,8,138.21,23181.85,22529.57,0,0,17967.56,124233.33,0,187912.31,115666.67,262429.57,146762.9,40000,NA,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,3,1,61,49443.49,2,1105.7,5.49,1,1,1,0,1,0,0,0,1,0,1,3,2,NA,1
"00-75-98-66",2022.05,2,2,5,5,122.72,184520.54,14230.65,0,0,113857.14,51651.39,15000,379259.72,640512.5,706394.54,65882.04,420000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,6,3,61,103827.51,1,613.59,3.4,1,1,1,0,0,0,0,0,1,0,2,1,2,NA,1
"00-76-22-43",2022.12,8,2,5,5,126.66,125142.86,48510.64,0,0,118742.56,52383.33,0,344779.39,241758.33,342652.3,100893.97,NA,100000,35800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,51,84555.99,1,633.29,3.9,1,2,NA,0,0,0,0,0,1,1,2,3,2,NA,NA
"00-76-28-47",2022.05,3,1,5,5,91.06,170637.5,912.5,0,0,44761.9,34205.56,3333.33,253850.79,133333.33,168451.39,35118.06,80000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13333.33,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,5,1,39,67348,1,455.32,3.4,2,1,1,0,1,0,0,0,0,0,1,3,2,NA,1
"00-76-96-40",2022.11,1,1,1,1,173.95,19162.5,0,14038.46,0,7019.23,12683.89,0,52904.08,160000,172683.89,12683.89,160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,53,99904.29,1,173.95,0.74,2,1,1,0,1,0,0,0,0,0,1,3,2,NA,1
"00-79-95-24",2022.12,3,1,3,3,91.06,102004.46,0,23464.29,0,63440.48,51616.67,4166.67,244692.56,490500,542116.67,51616.67,460000,NA,30500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,54,92921.48,1,273.19,2.43,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,1
"00-79-98-50",2022.07,2,1,3,3,76.87,80799.7,977.68,0,0,34592.26,20700,0,137069.64,490000,511677.68,21677.68,490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,52,69111.2,1,230.61,2.43,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-80-48-35",2022.08,1,1,1,1,173.95,14513.1,20649.22,0,0,2129.17,22280.56,0,59572.04,72000,114929.78,42929.78,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,5,3,83,98596.21,1,173.95,0.81,2,1,1,0,1,1,0,0,0,0,1,2,2,NA,2
"00-80-54-79",2022.08,1,1,3,3,24.03,84753.87,0,0,0,14773.81,15000,0,114527.68,210000,225000,15000,210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,51,52599.36,2,72.08,2.43,1,1,1,0,0,1,0,0,0,0,1,3,2,NA,NA
"00-81-22-86",2022.08,11,2,3,2,99.8,54641.37,8647.41,0,0,67510.42,13762.5,0,144561.7,109375,131784.91,22409.91,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,53,88361.86,1,199.59,1.65,1,3,NA,0,0,0,0,0,1,0,5,3,2,NA,1
