"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2012","12.6055","12.5930","12.6645","12.4110","","-0.17%"
"06/21/2012","12.6270","12.7840","12.8160","12.5950","","-1.24%"
"06/20/2012","12.7850","12.8110","12.8690","12.7140","","-0.63%"
"06/19/2012","12.8655","12.7870","12.8655","12.5830","","0.47%"
"06/18/2012","12.8050","12.7860","12.9380","12.7150","","-0.35%"
"06/15/2012","12.8495","12.7030","12.8615","12.5990","","0.97%"
"06/14/2012","12.7260","12.6250","12.8280","12.5990","","-0.43%"
"06/13/2012","12.7810","12.4930","12.8110","12.4770","","2.33%"
"06/12/2012","12.4905","12.5640","12.6365","12.4580","","-0.83%"
"06/11/2012","12.5955","12.6210","12.8825","12.5550","","-0.62%"
"06/08/2012","12.6740","12.7400","12.7870","12.5080","","-0.75%"
"06/07/2012","12.7700","12.7390","12.8740","12.6970","","-0.24%"
"06/06/2012","12.8010","12.4140","12.8010","12.3600","","2.58%"
"06/05/2012","12.4785","12.1670","12.5055","12.1610","","2.18%"
"06/04/2012","12.2125","11.9970","12.2485","11.8330","","0.83%"
"06/01/2012","12.1125","12.1200","12.2035","11.9080","","-0.35%"
"05/31/2012","12.1545","12.3130","12.3815","12.0400","","-1.63%"
"05/30/2012","12.3565","12.5280","12.5815","12.3130","","-1.62%"
"05/29/2012","12.5595","12.6190","12.7105","12.5270","","-1.12%"
"05/28/2012","12.7020","12.6180","12.8200","12.6060","","0.07%"
"05/25/2012","12.6925","12.6550","12.9395","12.6010","","-0.12%"
"05/24/2012","12.7075","12.6920","12.8185","12.6370","","0.20%"
"05/23/2012","12.6820","12.7880","12.8670","12.6320","","-1.17%"
"05/22/2012","12.8315","12.8730","13.0045","12.7740","","-0.61%"
"05/21/2012","12.9100","12.7180","12.9150","12.7150","","1.24%"
"05/18/2012","12.7515","12.7310","12.7885","12.5950","","-0.11%"
"05/17/2012","12.7655","12.7620","12.8505","12.6720","","-0.35%"
"05/16/2012","12.8105","12.8540","13.0985","12.7480","","-0.66%"
"05/15/2012","12.8960","12.9800","13.1070","12.8490","","-0.96%"
"05/14/2012","13.0210","12.9250","13.0850","12.8840","","-0.23%"
"05/11/2012","13.0515","13.0080","13.0755","12.9550","","-0.04%"
"05/10/2012","13.0565","12.8340","13.0975","12.8310","","1.28%"
"05/09/2012","12.8920","12.9230","12.9960","12.8060","","-0.69%"
"05/08/2012","12.9810","13.0180","13.1340","12.9250","","-0.55%"
"05/07/2012","13.0530","13.1470","13.1820","12.9930","","-0.86%"
"05/04/2012","13.1660","13.2430","13.2800","13.1180","","-0.74%"
"05/03/2012","13.2635","13.2560","13.3285","13.2140","","-0.25%"
"05/02/2012","13.2970","13.3330","13.3980","13.2390","","-0.57%"
"05/01/2012","13.3735","13.3190","13.3735","13.2970","","0.14%"
"04/30/2012","13.3545","13.3470","13.3965","13.2940","","-0.29%"
"04/27/2012","13.3930","13.3270","13.4020","13.2780","","0.03%"
"04/26/2012","13.3885","13.3510","13.4415","13.2960","","0.13%"
"04/25/2012","13.3705","13.3340","13.4165","13.3060","","-0.09%"
