"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2019-06-01",2019,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",3,15,FALSE
"2019-07-01",2019,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,16,FALSE
"2019-08-01",2019,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,17,TRUE
"2019-09-01",2019,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,18,FALSE
"2019-10-01",2019,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",3,21,FALSE
"2019-11-01",2019,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,22,FALSE
"2019-12-01",2019,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,22,FALSE
"2020-01-01",2020,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,22,FALSE
"2020-02-01",2020,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,22,FALSE
"2020-03-01",2020,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,22,FALSE
"2020-04-01",2020,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,18,FALSE
"2020-05-01",2020,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,14,FALSE
"2020-06-01",2020,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,11,FALSE
"2020-07-01",2020,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,10,FALSE
"2020-08-01",2020,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,9,FALSE
"2020-09-01",2020,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,8,TRUE
"2020-10-01",2020,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,6,FALSE
"2020-11-01",2020,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,6,FALSE
"2020-12-01",2020,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,6,FALSE
"2021-01-01",2021,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,6,FALSE
"2021-02-01",2021,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,6,FALSE
"2021-03-01",2021,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,5,FALSE
"2021-04-01",2021,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,5,TRUE
"2021-05-01",2021,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,6,FALSE
"2021-06-01",2021,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,7,FALSE
"2021-07-01",2021,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,7,FALSE
"2021-08-01",2021,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,8,TRUE
"2021-09-01",2021,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,10,FALSE
"2021-10-01",2021,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,11,TRUE
"2021-11-01",2021,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,11,FALSE
"2021-12-01",2021,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,12,FALSE
"2022-01-01",2022,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,12,TRUE
"2022-02-01",2022,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,13,FALSE
"2022-03-01",2022,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,14,FALSE
"2022-04-01",2022,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,14,FALSE
"2022-05-01",2022,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,13,FALSE
"2022-06-01",2022,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,12,FALSE
"2022-07-01",2022,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,11,FALSE
"2022-08-01",2022,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,10,FALSE
"2022-09-01",2022,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,10,FALSE
"2022-10-01",2022,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,9,FALSE
"2022-11-01",2022,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,10,FALSE
"2022-12-01",2022,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,11,TRUE
"2023-01-01",2023,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,13,TRUE
"2023-02-01",2023,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,14,FALSE
"2023-03-01",2023,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,14,TRUE
"2023-04-01",2023,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",3,17,FALSE
"2023-05-01",2023,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,19,TRUE
"2023-06-01",2023,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,20,FALSE
"2023-07-01",2023,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,20,TRUE
"2023-08-01",2023,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,20,FALSE
"2023-09-01",2023,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,18,FALSE
