"code","arm","eng","rus","date","production_month","vol_YoY_pct"
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2019-Q4",194273.8,105.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2020-Q1",169586.2,91.9
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2020-Q2",134048.09999999998,91.9
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2020-Q3",170812.80000000002,91.9
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2020-Q4",199504.5,86.2
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2021-Q1",160126.8,109.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2021-Q2",175277.5,85
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2021-Q3",194329.2,97.5
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2021-Q4",237552.80000000002,131.3
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2022-Q1",186429.00000000003,110.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2022-Q2",176227.1,92.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2022-Q3",237147.8,119
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2022-Q4",283087.7,106.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2023-Q1",223757.8,112.2
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2023-Q2",233519.2,126.3
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2023-Q3",251945.8,107.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2023-Q4",309019.9,107.2
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2013-Q1",666494.3,NA
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2013-Q2",855894.4,NA
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2013-Q3",1228201,NA
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2013-Q4",1298620.4,NA
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2014-Q1",698576.3,103.3
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2014-Q2",894176.9,101.6
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2014-Q3",1295473.6,105.5
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2014-Q4",1394064.6,104.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2015-Q1",756844.5,103.7
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2015-Q2",983584.1000000001,107.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2015-Q3",1371398.4000000001,104.8
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2015-Q4",1396005.0999999999,102.2
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2016-Q1",782453,106.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2016-Q2",1015491.4,102.9
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2016-Q3",1393200.2,98.6
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2016-Q4",1367345.3,98.2
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2017-Q1",843262,106.8
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2017-Q2",1083683.4,106.7
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2017-Q3",1442117.6999999997,103.9
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2017-Q4",1623355.2000000004,111.3
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2018-Q1",966414.1000000001,109.5
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2018-Q2",1226090.1,107.7
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2018-Q3",1526297.6000000003,102.3
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2018-Q4",1659008.6000000003,102.8
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2019-Q1",1046305.9,107.7
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2019-Q2",1314663.5,107.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2019-Q3",1637715.4,108.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2019-Q4",1799328,107.8
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2020-Q1",1093472.6,104.5
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2020-Q2",1140410.6,88
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2020-Q3",1572817.9999999995,91.7
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)","2020-Q4",1701249.8000000005,91.8
