period,partner_region,X_region
2015-11-01,EU,436830436.09000003
2015-12-01,EU,437088725.34000003
2016-01-01,EU,439271367.94000006
2016-02-01,EU,441499468.02000004
2016-03-01,EU,442400044.78000003
2016-04-01,EU,445028733.75
2016-05-01,EU,445287597.28
2016-06-01,EU,443546617.88
2016-07-01,EU,439793699.87000006
2016-08-01,EU,447172715.19000006
2016-09-01,EU,452509998.62
2016-10-01,EU,455750115.03
2016-11-01,EU,466607352.36
2016-12-01,EU,474378798.39
2017-01-01,EU,480286113.87
2017-02-01,EU,492511576.07000005
2017-03-01,EU,498371251.96000004
2017-04-01,EU,504685083.4100001
2017-05-01,EU,507736748.5400001
2017-06-01,EU,526928784.85
2017-07-01,EU,540252182.4499999
2017-08-01,EU,553909498.11
2017-09-01,EU,570341409.61
2017-10-01,EU,584851431.93
2017-11-01,EU,593120499.74
2017-12-01,EU,602286263.48
2018-01-01,EU,610597015.2800001
2018-02-01,EU,635666258.43
2018-03-01,EU,642113892.35
2018-04-01,EU,657899822.1
2018-05-01,EU,679495386.3
2018-06-01,EU,683531031.2900001
2018-07-01,EU,693759961.0499998
2018-08-01,EU,694310022.9899999
2018-09-01,EU,685482967.3199999
2018-10-01,EU,699885864.92
2018-11-01,EU,685253099.08
2018-12-01,EU,672536556.77
2019-01-01,EU,661869278.51
2019-02-01,EU,637615663.5799999
2019-03-01,EU,630071648.22
2019-04-01,EU,608716406.6899999
2019-05-01,EU,598915009.42
2019-06-01,EU,579551691.14
2019-07-01,EU,576721400.61
2019-08-01,EU,583439051.3000001
2019-09-01,EU,596787739.6300001
2019-10-01,EU,575871059.11
2019-11-01,EU,583900056.4300001
2019-12-01,EU,574615046.73
2020-01-01,EU,583916245.0300001
2020-02-01,EU,577866485.19
2020-03-01,EU,564973946.7400001
2020-04-01,EU,554746661.61
2020-05-01,EU,529908077.32
2020-06-01,EU,517228652.93
2020-07-01,EU,496348744.64000005
2020-08-01,EU,477036646.77000004
2020-09-01,EU,452109355.57000005
2020-10-01,EU,433308889.68
2020-11-01,EU,414745660.59000003
2020-12-01,EU,425982713.51
2021-01-01,EU,410818605.2
2021-02-01,EU,419543124.22999996
2021-03-01,EU,434080638.39
2021-04-01,EU,440439343.6
2021-05-01,EU,468968201.71000004
2021-06-01,EU,509813730.83000004
2021-07-01,EU,529063930.93000007
2021-08-01,EU,571005360.63
2021-09-01,EU,589357438.13
2021-10-01,EU,620330062.9100001
2021-11-01,EU,646121643.53
2021-12-01,EU,653144635.9000002
2022-01-01,EU,681949707.38
2022-02-01,EU,684786219.89
2022-03-01,EU,704477025.05
2022-04-01,EU,746180679.3599999
2022-05-01,EU,780464909.98
2022-06-01,EU,782408373.4700001
2022-07-01,EU,793699338.0100001
2022-08-01,EU,761646507.22
2022-09-01,EU,771059357.0600001
2022-10-01,EU,770139376.0200001
2022-11-01,EU,766491969.5400001
2022-12-01,EU,770479801.71
2023-01-01,EU,767979906.6700001
2023-02-01,EU,778815943.2
2023-03-01,EU,777391071.1199999
2023-04-01,EU,745270867.04
2010-12-01,Greater China,37115331.8
2011-01-01,Greater China,36932954.519999996
2011-02-01,Greater China,36789694.269999996
2011-03-01,Greater China,32075907.69999999
2011-04-01,Greater China,28829747.229999993
2011-05-01,Greater China,27456288.7
2011-06-01,Greater China,26085411.249999996
2011-07-01,Greater China,24188763.4
2011-08-01,Greater China,19679447.18
2011-09-01,Greater China,13842420.18
2011-10-01,Greater China,19665044.299999997
2011-11-01,Greater China,22731749.729999997
2011-12-01,Greater China,16261795.16
2012-01-01,Greater China,14230061.56
2012-02-01,Greater China,14201278.269999998
2012-03-01,Greater China,14062928.929999998
2012-04-01,Greater China,15913051.719999999
2012-05-01,Greater China,17744104.88
2012-06-01,Greater China,19307654.279999997
2012-07-01,Greater China,19316541.5
2012-08-01,Greater China,22582707.499999996
2012-09-01,Greater China,22585033.329999994
2012-10-01,Greater China,26780983.619999997
2012-11-01,Greater China,22188583.83
2012-12-01,Greater China,30965577.259999998
2013-01-01,Greater China,30791593.96
2013-02-01,Greater China,34381483.559999995
2013-03-01,Greater China,38547014.839999996
2013-04-01,Greater China,42907672.11
2013-05-01,Greater China,47173867.96
2013-06-01,Greater China,52750206.04000001
2013-07-01,Greater China,60796836.650000006
2013-08-01,Greater China,66511580.99
2013-09-01,Greater China,72505961.87
2013-10-01,Greater China,67415938.8
2013-11-01,Greater China,71483810.69999999
2013-12-01,Greater China,68897047.73
2014-01-01,Greater China,74761850.97
2014-02-01,Greater China,80743718.56
2014-03-01,Greater China,89024118.81
2014-04-01,Greater China,95362792.89
2014-05-01,Greater China,98978203.67000002
2014-06-01,Greater China,109614055.17999999
2014-07-01,Greater China,114650357.83999999
2014-08-01,Greater China,122038180.53
2014-09-01,Greater China,135722057.60999998
2014-10-01,Greater China,144188060.96
2014-11-01,Greater China,160826006.64
2014-12-01,Greater China,170953738.38
2015-01-01,Greater China,173593993.19
2015-02-01,Greater China,176688224.15
2015-03-01,Greater China,178391192.18
2015-04-01,Greater China,180973028.37
2015-05-01,Greater China,189600876.71999997
2015-06-01,Greater China,194777031.29999995
2015-07-01,Greater China,195518468.94999993
2015-08-01,Greater China,192258417.20999998
2015-09-01,Greater China,184945111.61999997
2015-10-01,Greater China,183998508.02
2015-11-01,Greater China,173107219.90000004
2015-12-01,Greater China,165201940.84000003
2016-01-01,Greater China,160910393.68
2016-02-01,Greater China,159345459.54999998
2016-03-01,Greater China,150283664.51
2016-04-01,Greater China,139685915.66
2016-05-01,Greater China,129306419.98
2016-06-01,Greater China,109861345.00999999
2016-07-01,Greater China,104607247.63999997
2016-08-01,Greater China,100634952.03999998
2016-09-01,Greater China,102262845.60000001
2016-10-01,Greater China,99701393.29
2016-11-01,Greater China,96252987.64999999
2016-12-01,Greater China,96381302.91999999
2017-01-01,Greater China,100628013.03
2017-02-01,Greater China,98739351.06
2017-03-01,Greater China,98585209.45
2017-04-01,Greater China,101861957.24
2017-05-01,Greater China,97595782.46999998
2017-06-01,Greater China,98515881.27
2017-07-01,Greater China,100788885.17999999
2017-08-01,Greater China,104077675.02999999
2017-09-01,Greater China,101464361.72
2017-10-01,Greater China,106875208.88999999
2017-11-01,Greater China,113637114.82999998
2017-12-01,Greater China,118513071.85
2018-01-01,Greater China,122775434.08999999
2018-02-01,Greater China,117058541.33999999
2018-03-01,Greater China,122509538.82
2018-04-01,Greater China,119440360.68999998
2018-05-01,Greater China,125703040.33999999
2018-06-01,Greater China,130287089.19
2018-07-01,Greater China,129900644.78
2018-08-01,Greater China,130926843.22
2018-09-01,Greater China,123266178.9
2018-10-01,Greater China,114311116.16999997
2018-11-01,Greater China,107650268.05999997
2018-12-01,Greater China,107222006.45999998
2019-01-01,Greater China,109207641.26999998
2019-02-01,Greater China,113349280.63999999
2019-03-01,Greater China,115905230.21000001
2019-04-01,Greater China,127472575.19000001
2019-05-01,Greater China,135385690.28
2019-06-01,Greater China,147318133.59
2019-07-01,Greater China,151580442.69
2019-08-01,Greater China,151571427.34
2019-09-01,Greater China,157223159.74
2019-10-01,Greater China,164931502.63
2019-11-01,Greater China,173963147.44999996
2019-12-01,Greater China,193681983.66000003
2020-01-01,Greater China,191146748.75
2020-02-01,Greater China,187310868.2
2020-03-01,Greater China,198735988.10999998
2020-04-01,Greater China,199601159.32
2020-05-01,Greater China,204421572.10999998
2020-06-01,Greater China,215262491.44
2020-07-01,Greater China,214421201.26999998
2020-08-01,Greater China,224334869.07
2020-09-01,Greater China,254538066.45000002
2020-10-01,Greater China,270430990.6
2020-11-01,Greater China,287862530.82
2020-12-01,Greater China,289708872.86
2021-01-01,Greater China,309115497.92999995
2021-02-01,Greater China,328202248.18999994
2021-03-01,Greater China,328301844.35999995
2021-04-01,Greater China,359043586.49
2021-05-01,Greater China,382530799.41999996
2021-06-01,Greater China,402598130.54999995
2021-07-01,Greater China,413665544.00999993
2021-08-01,Greater China,416064648.87
2021-09-01,Greater China,401971286.28999996
2021-10-01,Greater China,396707156.56
2021-11-01,Greater China,395487832.04999995
2021-12-01,Greater China,393160887.93
2022-01-01,Greater China,397651296.38
2022-02-01,Greater China,397076371.75000006
2022-03-01,Greater China,394152714.5300001
2022-04-01,Greater China,378492123.21000004
2022-05-01,Greater China,362339255.89
