month,year,date,FX,indicator,value
7,2011,2011-07-01,Արտարժույթ,անշարժ գույքի վերանորոգման հիպոթեկային վարկեր,7603667.600000001
7,2011,2011-07-01,Արտարժույթ,"Սպառողական վարկեր,այդ թվում`",22030501.514
7,2011,2011-07-01,Արտարժույթ,քարտային վարկեր,17825634
7,2011,2011-07-01,Արտարժույթ,ավտովարկեր,631177
7,2011,2011-07-01,Արտարժույթ,կենցաղային և համակարգչային տեխնիկացի ձեռքբերման վարկեր,2015
7,2011,2011-07-01,Արտարժույթ,ոսկու գրավով վարկեր,337925
7,2011,2011-07-01,Արտարժույթ,այլ սպառողական վարկեր,3231846.514
8,2011,2011-08-01,Դրամ,"Ռեզիդենտներին տրված վարկեր, ավանդներ, ֆակտորինգ, լիզինգ, ռեպո համաձայնագրեր ըստ ճյուղերի, այդ թվում`",475790521.7541
8,2011,2011-08-01,Դրամ,"A. Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն,այդ թվում`",16495648.5208
8,2011,2011-08-01,Դրամ,(01.1/3) բուսաբուծություն,6230749.2849
8,2011,2011-08-01,Դրամ,(01.4)    անասնապահություն,9208640.8681
8,2011,2011-08-01,Դրամ,(02)        անտառային տնտեսություն և փայտամթերումներ,19822
8,2011,2011-08-01,Դրամ,(03)        ձկնորսություն և ձկնաբուծություն,902396.5205
8,2011,2011-08-01,Դրամ,"B. Հանքագործական արդյունաբերություն և բացահանքերի շահագործում,այդ թվում`",4825576.0734
8,2011,2011-08-01,Դրամ,(07)           մետաղական հանքաքարի արդյունահանում,935374.1831999999
8,2011,2011-08-01,Դրամ,(08.1-12)  շինանյութի արդյունահանում,1647566.8902
8,2011,2011-08-01,Դրամ,"C. Մշակող արդյունաբերություն,այդ թվում`",38261901.8066
8,2011,2011-08-01,Դրամ,(10)          սննդի արդյունաբերություն,16024003.428099997
8,2011,2011-08-01,Դրամ,(10.1)     մսի մշակում և պահածոյացում,2229328.7766
8,2011,2011-08-01,Դրամ,(10.3 )     մրգերի և բանջարեղենի մշակում և պահածոյացում,3109494.8044
8,2011,2011-08-01,Դրամ,(10.5)     կաթնամթերքի արտադրություն,1832340.3181999999
8,2011,2011-08-01,Դրամ,(10.7)    հացի և ալյուրե հրուշակեղենի արտադրություն,3117199.1155999997
8,2011,2011-08-01,Դրամ,(11)          խմիչքների արդյունաբերություն,7774282.7925
8,2011,2011-08-01,Դրամ,(12)          ծխախոտի արդյունաբերություն,17891
8,2011,2011-08-01,Դրամ,(13+14)    մանածագործական արտադրատեսակների և հագուստի արտադրություն,511435.2713
8,2011,2011-08-01,Դրամ,(15)           կաշվե արտադրատեսակների արտադրություն,291828.7186
8,2011,2011-08-01,Դրամ,"(16+17)   փայտանյութի, թղթի, փայտե և թղթե արտադրատեսակների արտադրություն (բացի կահույքից)",830924.8507
8,2011,2011-08-01,Դրամ,(18)         պոլիգրաֆիական գործունեություն,1151215.9929000002
8,2011,2011-08-01,Դրամ,(20)         քիմիական նյութերի արտադրություն,196956
8,2011,2011-08-01,Դրամ,(21)         դեղագործական արտադրատեսակների արտադրություն,102224.1685
8,2011,2011-08-01,Դրամ,(22)         ռետինե և պլաստմասսայե արտադրատեսակների արտադրություն,1221494
8,2011,2011-08-01,Դրամ,(23)         ոչ մետաղական արտադրատեսակների արտադրություն,3193663.3849
8,2011,2011-08-01,Դրամ,(24)         հիմնային մետաղների արտադրություն,3948
8,2011,2011-08-01,Դրամ,"(25)    մետաղե պատրաստի արտադրատեսակների արտադրություն,բացի մեքենաներից և սարքավորումներից",2371281.2298000003
8,2011,2011-08-01,Դրամ,"(26+27)   համակարգիչների, էլեկտրոնային, օպտիկական և էլեկտրական սարքավորումների արտադրություն",357388.5067999999
8,2011,2011-08-01,Դրամ,(31)        կահույքի արտադրություն,1335081.2555999998
8,2011,2011-08-01,Դրամ,(33)       մեքենաների և սարքավորումների նորոգում և տեղակայում,660172
8,2011,2011-08-01,Դրամ,"D. Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում,այդ թվում",14382409.2552
8,2011,2011-08-01,Դրամ,"(35.1)      էլեկտրաէներգիայի արտադրություն, փոխանցում և բաշխում",13470331.664600002
8,2011,2011-08-01,Դրամ,"E. Ջրամատակարարում, կոյուղի, թափոնների կառավարում և վերամշակում",151907
8,2011,2011-08-01,Դրամ,"F. Շինարարություն,այդ թվում`",21412668.1026
8,2011,2011-08-01,Դրամ,(41.2)      բնակելի և ոչ բնակելի շենքերի շինարարություն,15850255.285599997
8,2011,2011-08-01,Դրամ,(42.1)      ճանապարհների և երկաթուղիների շինարարություն,3682802.4835
8,2011,2011-08-01,Դրամ,"G. Առևտուր,այդ թվում`",66002065.3432
8,2011,2011-08-01,Դրամ,"(45)        ավտոմեքենաների, մոտոցիկլերի և դրանց պահեստամասերի առևտուր և նորոգում",1038652.6776999999
8,2011,2011-08-01,Դրամ,(46)        մեծածախ  առևտուր,22448922.8969
8,2011,2011-08-01,Դրամ,(47)        մանրածախ  առևտուր,42449551.76860001
8,2011,2011-08-01,Դրամ,"H. Փոխադրումներ և պահեստային տնտեսություն,այդ թվում`",10010346.579600003
8,2011,2011-08-01,Դրամ,(49.32)   տաքսու ծառայություններ,5156826.3105999995
8,2011,2011-08-01,Դրամ,(49.4)     ավտոճանապարհային բեռնափոխադրումներ և փոխադրման ծառայություններ,2772095.2841000003
8,2011,2011-08-01,Դրամ,(51)        օդային տրանսպորտի գործունեություն,1637772
8,2011,2011-08-01,Դրամ,(52.1)     պահեստավորում և պահպանում,206800
8,2011,2011-08-01,Դրամ,"I. Կացության և հանրային սննդի կազմակերպում,այդ թվում`",10544663.149199998
8,2011,2011-08-01,Դրամ,(55)      հյուրանոցների և համանման բնակատեղերի տրամադրման ծառայություններ,4195858.443200001
8,2011,2011-08-01,Դրամ,(56)        հանրային սննդի կազմակերպում,6304869.706
8,2011,2011-08-01,Դրամ,"J. Տեղեկատվություն և կապ,այդ թվում`",1031638.1002999999
8,2011,2011-08-01,Դրամ,(58)        հրատարակչական գործ,243213.17790000004
8,2011,2011-08-01,Դրամ,(60)        հեռուստառադիոծրագրերի կազմում և հերարձակում,418772.8531
8,2011,2011-08-01,Դրամ,(61)        հեռահաղորդակցություն,117449.21859999998
8,2011,2011-08-01,Դրամ,(62)        համակարգչային ծրագրավորում և հարակից գործունեություն,145890.85069999998
8,2011,2011-08-01,Դրամ,"K. Ֆինանսական և ապահովագրական գործունեություն,այդ թվում`",48611275.6432
8,2011,2011-08-01,Դրամ,առևտրային բանկեր,29850115
8,2011,2011-08-01,Դրամ,վարկային կազմակերպություններ,3912038
8,2011,2011-08-01,Դրամ,ապահովագրական ընկերություններ,27382
8,2011,2011-08-01,Դրամ,ներդրումային ընկերություններ,7299434
8,2011,2011-08-01,Դրամ,այլ ֆինանսական կազմակերպություններ,7172219.330100001
8,2011,2011-08-01,Դրամ,"L. Անշարժ գույքի հետ կապված գործունեություն,այդ թվում`",2808581.4206
8,2011,2011-08-01,Դրամ,(68.1)    սեփականություն հանդիսացող անշարժ գույքի առք և վաճառք,1664853
8,2011,2011-08-01,Դրամ,"M. Մասնագիտական, գիտական և տեխնիկական գործունեություն,այդ թվում`",1010200.9628000001
8,2011,2011-08-01,Դրամ,(69)       իրավաբանական և հաշվապահական գործունեություն,103635.91919999999
8,2011,2011-08-01,Դրամ,(71)       ճարտարապետական և ճարտարագիտական գործունեություն,131497
8,2011,2011-08-01,Դրամ,(72)      գիտական հետազոտություններ և մշակումներ,251215
8,2011,2011-08-01,Դրամ,(73.1)    գովազդային գործունեություն,484117.0436
8,2011,2011-08-01,Դրամ,"P. Կրթություն,այդ թվում`",526883.9695
8,2011,2011-08-01,Դրամ,(85.4)  բարձրագույն կրթություն,297281
8,2011,2011-08-01,Դրամ,Q. Առողջապահություն,1992642.3249000001
8,2011,2011-08-01,Դրամ,"R. Մշակույթ, զվարճություն, հանգիստ",1562440.0927000002
8,2011,2011-08-01,Դրամ,"Տնտեսության այլ ճյուղեր, այդ թվում",10220164.641499998
8,2011,2011-08-01,Դրամ,(32.1)  ոսկերչական արտադրատեսակների և զարդերի  արտադրություն,1914068.8560000001
8,2011,2011-08-01,Դրամ,(79)     զբոսաշրջություն,433330.31470000005
8,2011,2011-08-01,Դրամ,"Հիփոթեքային վարկեր,այդ թվում`",59271597.366000004
8,2011,2011-08-01,Դրամ,անշարժ գույքի ձեռքբերման հիպոթեկային վարկեր,39822812.161400005
8,2011,2011-08-01,Դրամ,անշարժ գույքի վերանորոգման հիպոթեկային վարկեր,12759423.204600003
8,2011,2011-08-01,Դրամ,"Սպառողական վարկեր,այդ թվում`",166667911.402
8,2011,2011-08-01,Դրամ,քարտային վարկեր,23892914
8,2011,2011-08-01,Դրամ,ավտովարկեր,19103399.9084
8,2011,2011-08-01,Դրամ,կենցաղային և համակարգչային տեխնիկացի ձեռքբերման վարկեր,12195529
8,2011,2011-08-01,Դրամ,ոսկու գրավով վարկեր,65806654
8,2011,2011-08-01,Դրամ,այլ սպառողական վարկեր,43776800.4936
8,2011,2011-08-01,Արտարժույթ,"Ռեզիդենտներին տրված վարկեր, ավանդներ, ֆակտորինգ, լիզինգ, ռեպո համաձայնագրեր ըստ ճյուղերի, այդ թվում`",672749999.5301
8,2011,2011-08-01,Արտարժույթ,"A. Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն,այդ թվում`",59369283.0187
8,2011,2011-08-01,Արտարժույթ,(01.1/3) բուսաբուծություն,17437604.841499995
8,2011,2011-08-01,Արտարժույթ,(01.4)    անասնապահություն,35966226.8022
8,2011,2011-08-01,Արտարժույթ,(02)        անտառային տնտեսություն և փայտամթերումներ,0
8,2011,2011-08-01,Արտարժույթ,(03)        ձկնորսություն և ձկնաբուծություն,4889721.9275
8,2011,2011-08-01,Արտարժույթ,"B. Հանքագործական արդյունաբերություն և բացահանքերի շահագործում,այդ թվում`",11240891.288799997
8,2011,2011-08-01,Արտարժույթ,(07)           մետաղական հանքաքարի արդյունահանում,7218167
8,2011,2011-08-01,Արտարժույթ,(08.1-12)  շինանյութի արդյունահանում,1176285.2888
8,2011,2011-08-01,Արտարժույթ,"C. Մշակող արդյունաբերություն,այդ թվում`",105935126.99940002
8,2011,2011-08-01,Արտարժույթ,(10)          սննդի արդյունաբերություն,45573422.6753
8,2011,2011-08-01,Արտարժույթ,(10.1)     մսի մշակում և պահածոյացում,2571624.1068
8,2011,2011-08-01,Արտարժույթ,(10.3 )     մրգերի և բանջարեղենի մշակում և պահածոյացում,5341926.6037
8,2011,2011-08-01,Արտարժույթ,(10.5)     կաթնամթերքի արտադրություն,8690353.059
8,2011,2011-08-01,Արտարժույթ,(10.7)    հացի և ալյուրե հրուշակեղենի արտադրություն,7918876.942300001
8,2011,2011-08-01,Արտարժույթ,(11)          խմիչքների արդյունաբերություն,10032739.355500001
8,2011,2011-08-01,Արտարժույթ,(12)          ծխախոտի արդյունաբերություն,2125535
8,2011,2011-08-01,Արտարժույթ,(13+14)    մանածագործական արտադրատեսակների և հագուստի արտադրություն,1102624.6213
8,2011,2011-08-01,Արտարժույթ,(15)           կաշվե արտադրատեսակների արտադրություն,269488
