country,year,month,export,import_origin,import_consignment,date
Afghanistan,2020,11,123.075,0,0,2020-11-01
Afghanistan,2020,12,807.17004,0,0,2020-12-01
Afghanistan,2019,3,0,1.305,0,2019-03-01
Afghanistan,2019,5,0,1.41527,0,2019-05-01
Afghanistan,2019,7,0,0.52233,0,2019-07-01
Afghanistan,2019,8,0,2.123,0,2019-08-01
Afghanistan,2019,10,0,1.28028,0,2019-10-01
Afghanistan,2019,11,0,0.28026,0,2019-11-01
Afghanistan,2019,12,0,0.34001,0,2019-12-01
Afghanistan,2018,2,17.5,1.15736,0,2018-02-01
Afghanistan,2018,3,0,0.75649,0,2018-03-01
Afghanistan,2018,6,0,0.49007,0,2018-06-01
Afghanistan,2018,8,0,0.52287,0,2018-08-01
Afghanistan,2018,10,0,0.98,0,2018-10-01
Afghanistan,2018,11,0,0,11.9,2018-11-01
Afghanistan,2018,12,0,1.025,0,2018-12-01
Afghanistan,2017,2,0,0.2265,0,2017-02-01
Afghanistan,2017,4,0,0.26938,0,2017-04-01
Afghanistan,2017,6,0,0.35,0.35,2017-06-01
Afghanistan,2017,7,0,0.18912,0,2017-07-01
Afghanistan,2017,8,0,0.25252,0,2017-08-01
Afghanistan,2017,9,0,0.11283,0,2017-09-01
Afghanistan,2017,11,0,0.50392,0,2017-11-01
Afghanistan,2017,12,61.168,0,0,2017-12-01
Albania,2024,1,0,72.27655,0,2024-01-01
Albania,2024,2,0,107.26757,46.80793,2024-02-01
Albania,2024,3,0,123.83694,47.37973,2024-03-01
Albania,2023,1,0,83.61839,0,2023-01-01
Albania,2023,2,0,184.88797,0,2023-02-01
Albania,2023,3,0,127.91633,0,2023-03-01
Albania,2023,4,0,235.14093,0,2023-04-01
Albania,2023,5,0,91.73483,0,2023-05-01
Albania,2023,6,0,13.23325,0,2023-06-01
Albania,2023,7,5.79,169.67278,0,2023-07-01
Albania,2023,8,0,121.00043,0,2023-08-01
Albania,2023,9,0,18.81919,0,2023-09-01
Albania,2023,10,0,36.0002,0.16206,2023-10-01
Albania,2023,11,0,52.43508,0,2023-11-01
Albania,2023,12,0,203.56547,0,2023-12-01
Albania,2022,1,0,56.46217,0,2022-01-01
Albania,2022,2,0,334.76202,0,2022-02-01
Albania,2022,3,0,174.16458,0,2022-03-01
Albania,2022,4,0,32.31137,0,2022-04-01
Albania,2022,5,0,47.9253,0,2022-05-01
Albania,2022,6,0,14.91851,7.45235,2022-06-01
Albania,2022,7,0,204.09252,0,2022-07-01
Albania,2022,8,0,131.07138,0,2022-08-01
Albania,2022,9,129.03368,79.11538,0,2022-09-01
Albania,2022,10,0,86.93843,0,2022-10-01
Albania,2022,11,0,98.55052,13.69534,2022-11-01
Albania,2022,12,0,173.90461,0,2022-12-01
Albania,2021,1,0,199.90166,0,2021-01-01
Albania,2021,2,0,116.06631,0,2021-02-01
Albania,2021,3,0,333.09377,0,2021-03-01
Albania,2021,4,0,53.47529,0,2021-04-01
Albania,2021,5,0,91.46824,0,2021-05-01
Albania,2021,6,0,258.3903,0,2021-06-01
Albania,2021,7,0,78.40254,0,2021-07-01
Albania,2021,8,0.47149,109.53151,0,2021-08-01
Albania,2021,9,0,84.47059,0,2021-09-01
Albania,2021,10,0,40.82241,0.09469,2021-10-01
Albania,2021,11,0,54.81021,0,2021-11-01
Albania,2021,12,0,175.39987,0,2021-12-01
Albania,2020,1,0,52.23723,35.72968,2020-01-01
Albania,2020,2,0,285.83357,171.73704,2020-02-01
Albania,2020,3,0,171.95172,0,2020-03-01
Albania,2020,4,0,132.83058,0,2020-04-01
Albania,2020,5,0,3.16628,0,2020-05-01
Albania,2020,6,0,40.05733,0,2020-06-01
Albania,2020,7,0,4.78785,0,2020-07-01
Albania,2020,8,0,321.36057,0,2020-08-01
Albania,2020,9,0.7458,71.65723,0,2020-09-01
Albania,2020,10,0,49.95077,0,2020-10-01
Albania,2020,11,0,25.59124,0,2020-11-01
Albania,2020,12,0,24.90345,0,2020-12-01
Albania,2019,1,0,169.0377,0,2019-01-01
Albania,2019,2,0,402.52648,0,2019-02-01
Albania,2019,3,0,194.29909,0,2019-03-01
Albania,2019,4,0,174.5561,0,2019-04-01
Albania,2019,5,0,8.57402,0,2019-05-01
Albania,2019,6,0,95.60763,0,2019-06-01
Albania,2019,7,0,180.11839,0,2019-07-01
Albania,2019,8,0,178.86133,0,2019-08-01
Albania,2019,9,0,48.80827,0,2019-09-01
Albania,2019,10,2.35,34.74951,0.03,2019-10-01
Albania,2019,11,0,36.85055,0,2019-11-01
Albania,2019,12,0,222.30469,0,2019-12-01
