country,family_costs_usd,family_costs_lcu,single_costs_usd,single_costs_lcu,lcu_unit,cost_of_living_to_armenia,rent_to_armenia,date_of_scrape
Seychelles,3511.5,49111.6,992.3,13879,$,48.6,48.9,2024-08-09
Singapore,4016.4,5320.9,1117.1,1480,S$,98.9,260.1,2024-08-09
Sint Maarten,3900.2,1512902.1,1134.1,439903.2,AMD,54.7,98.6,2024-08-09
Slovakia,2790.9,2553,820.4,750.5,€,11.9,-20.1,2024-08-09
Slovenia,3011.4,2754.8,889.3,813.5,€,20.7,2.2,2024-08-09
Solomon Islands,3992.4,33983.4,1314.4,11188.3,SI$,153.1,-23.7,2024-08-09
Somalia,1699.1,659065.7,508.1,197102.7,AMD,0.7,-80.2,2024-08-09
South Africa,2055.1,37694.3,591,10839,R,-23.4,-39.8,2024-08-09
South Korea,3772.1,5195928.1,1041.6,1434760.7,$,49.6,-13.3,2024-08-09
Spain,2743.3,2509.5,778.1,711.8,€,13.5,21.4,2024-08-09
Sri Lanka,1880.7,567379.9,525.4,158504.3,Rs,-18.4,-69.3,2024-08-09
Suriname,2734.6,1060734.6,743.7,288491.1,AMD,-1.7,-25.3,2024-08-09
Sweden,3565.5,37280.1,972.8,10171.7,kr,41.1,3.5,2024-08-09
Switzerland,6285.2,5400,1715.1,1473.6,Fr,160.7,157.4,2024-08-09
Syria,1329.5,515708.7,394,152847.3,AMD,-44,-80.6,2024-08-09
Taiwan,2728.1,88815.3,749.1,24388,NT$,9.5,-31.6,2024-08-09
Tajikistan,1566.4,16573.5,444.7,4705.4,SM,-38.8,-54.8,2024-08-09
Tanzania,1507.1,4058479.3,437.5,1178033.1,TSh,-38.2,-57.5,2024-08-09
Thailand,2065.4,73258.4,580.5,20588.9,$,-17.4,-37.3,2024-08-09
Timor-Leste,2943.1,1141626.2,837.6,324920,AMD,12.7,43.3,2024-08-09
Togo,2279.1,1367542.4,663.5,398143.3,CFA,-19.6,-72.5,2024-08-09
Trinidad And Tobago,3259.6,22102,893.9,6061.4,TT$,21.9,-30.6,2024-08-09
Tunisia,1604.8,4927.6,454.9,1396.9,DT,-35.5,-74.4,2024-08-09
Turkey,2134.3,71533.5,591,19809.4,TL,-13.7,-30.9,2024-08-09
Uganda,1819.5,6771537.2,524.9,1953468.1,USh,-27.6,-58.7,2024-08-09
Ukraine,1463.4,59907.3,424.2,17366.5,$,-40.7,-59,2024-08-09
United Arab Emirates,3427.1,12587.9,986.6,3623.7,AED,31.8,110.4,2024-08-09
United Kingdom,3487,2746.6,1029.4,810.8,£,47.2,65.1,2024-08-09
United States,4165.7,1615879.8,1170.7,454104.6,AMD,64.7,131.8,2024-08-09
Uruguay,3034.1,122932.7,849.2,34405.5,$U,22.1,-28.9,2024-08-09
Us Virgin Islands,6345.1,2461285.5,1772.5,687564.1,AMD,139.8,146.2,2024-08-09
Uzbekistan,1606.2,20245055.5,451.6,5691684.8,$,-39.8,-39.3,2024-08-09
Vanuatu,4611.6,547493.7,1410.5,167459.9,VT,74.1,110.7,2024-08-09
Venezuela,2224.7,862973.8,602.9,233869.3,AMD,-12.4,-69.8,2024-08-09
Vietnam,1646.1,41390231,467.5,11755730.5,$,-32.5,-50.4,2024-08-09
Yemen,3130.1,783617.7,856.2,214362,$,20.1,-67,2024-08-09
Zambia,2320.4,900088,682,264558,AMD,-8.8,-56.3,2024-08-09
Zimbabwe,2281.3,884906,651,252509,AMD,-14.2,-45.1,2024-08-09
