"date","code","name","cpi_month"
"2019-04-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-05-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-06-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.004
"2019-07-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-08-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-09-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-10-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-11-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",0.996
"2019-12-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.007
"2020-01-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.999
"2020-02-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.998
"2020-03-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.995
"2020-04-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.979
"2020-05-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.988
"2020-06-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.998
"2020-07-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.004
"2020-08-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.031
"2020-09-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.006
"2020-10-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.001
"2020-11-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1
"2020-12-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.035
"2020-01-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.001
"2020-02-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.985
"2020-03-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.97
"2020-04-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.908
"2020-05-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.846
"2020-06-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.983
"2020-07-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.036
"2020-08-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.011
"2020-09-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.018
"2020-10-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.008
"2020-11-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.964
