"year","hh","indicator","value","total_taxes","pct_growth","value_pct"
2016,"1.1.10","Սոցիալական վճար",13371.9687,1078294.2045999998,0.011870729224690013,0.012401039199649985
2016,"1.1.11","Այլ հարկային եկամուտներ",13254.50531,1078294.2045999998,0.011870729224690013,0.012292104746048268
2016,"1.1.2","Շահութահարկ",127186.52936,1078294.2045999998,0.011870729224690013,0.11795160246380129
2016,"1.1.3","Եկամտային հարկ",332778.72108,1078294.2045999998,0.011870729224690013,0.30861588577622595
2016,"1.1.4","Ակցիզային հարկ",59745.16289,1078294.2045999998,0.011870729224690013,0.05540710748061829
2016,"1.1.5","Շրջանառության հարկ",15259.638719999999,1078294.2045999998,0.011870729224690013,0.014151646790738952
2016,"1.1.8","Բնապահպանական հարկ և բնօգտագործման վճար",27380.95067,1078294.2045999998,0.011870729224690013,0.025392838571507613
2016,"1.1.9","Մաքսատուրք",55428.49847,1078294.2045999998,0.011870729224690013,0.05140387311138481
2016,"1.2","Պետական տուրք",33309.69543,1078294.2045999998,0.011870729224690013,0.030891101229980594
2017,"1.1.1","ԱԱՀ",408783.71801,1156425.2875299999,0.07245803844321252,0.3534890860810542
2017,"1.1.10","Սոցիալական վճար",15816.23705,1156425.2875299999,0.07245803844321252,0.013676834310482593
2017,"1.1.11","Այլ հարկային եկամուտներ",20657.55226,1156425.2875299999,0.07245803844321252,0.017863283069606953
2017,"1.1.2","Շահութահարկ",109976.78504,1156425.2875299999,0.07245803844321252,0.09510064007238946
2017,"1.1.3","Եկամտային հարկ",341226.80366,1156425.2875299999,0.07245803844321252,0.29507034076435995
2017,"1.1.4","Ակցիզային հարկ",82324.81192,1156425.2875299999,0.07245803844321252,0.07118904507513577
2017,"1.1.5","Շրջանառության հարկ",18290.86996,1156425.2875299999,0.07245803844321252,0.01581673295908924
2017,"1.1.8","Բնապահպանական հարկ և բնօգտագործման վճար",40118.40633,1156425.2875299999,0.07245803844321252,0.034691740800383744
2017,"1.1.9","Մաքսատուրք",72561.60018000001,1156425.2875299999,0.07245803844321252,0.06274646616815496
