date,direction,type,model_name,K_USD,period,ribbon_low,interval,ribbon_high
2016-09-30,Inflow,non-commercial,Actual Data,1129426,YoY,NA,0.5,NA
2016-10-31,Inflow,non-commercial,Actual Data,1128379.6400000001,YoY,NA,0.5,NA
2016-11-30,Inflow,non-commercial,Actual Data,1125414.9300000002,YoY,NA,0.5,NA
2016-12-31,Inflow,non-commercial,Actual Data,1131510.45,YoY,NA,0.5,NA
2017-01-31,Inflow,non-commercial,Actual Data,1144173.03,YoY,NA,0.5,NA
2017-02-28,Inflow,non-commercial,Actual Data,1153167.06,YoY,NA,0.5,NA
2017-03-31,Inflow,non-commercial,Actual Data,1162995.88,YoY,NA,0.5,NA
2017-04-30,Inflow,non-commercial,Actual Data,1163595.4,YoY,NA,0.5,NA
2017-05-31,Inflow,non-commercial,Actual Data,1180836.27,YoY,NA,0.5,NA
2017-06-30,Inflow,non-commercial,Actual Data,1187378.83,YoY,NA,0.5,NA
2017-07-31,Inflow,non-commercial,Actual Data,1203655.4800000002,YoY,NA,0.5,NA
2017-08-31,Inflow,non-commercial,Actual Data,1216684.1,YoY,NA,0.5,NA
2017-09-30,Inflow,non-commercial,Actual Data,1228933.9700000002,YoY,NA,0.5,NA
2017-10-31,Inflow,non-commercial,Actual Data,1246343.0200000003,YoY,NA,0.5,NA
2017-11-30,Inflow,non-commercial,Actual Data,1261359.7600000002,YoY,NA,0.5,NA
2017-12-31,Inflow,non-commercial,Actual Data,1275800.4100000001,YoY,NA,0.5,NA
2018-01-31,Inflow,non-commercial,Actual Data,1284077.76,YoY,NA,0.5,NA
2018-02-28,Inflow,non-commercial,Actual Data,1293773.2100000002,YoY,NA,0.5,NA
2018-03-31,Inflow,non-commercial,Actual Data,1300051.65,YoY,NA,0.5,NA
2018-04-30,Inflow,non-commercial,Actual Data,1300106.4,YoY,NA,0.5,NA
2018-05-31,Inflow,non-commercial,Actual Data,1298342,YoY,NA,0.5,NA
2018-06-30,Inflow,non-commercial,Actual Data,1308893.9900000002,YoY,NA,0.5,NA
2018-07-31,Inflow,non-commercial,Actual Data,1310336.7900000003,YoY,NA,0.5,NA
2018-08-31,Inflow,non-commercial,Actual Data,1300449.0999999999,YoY,NA,0.5,NA
2018-09-30,Inflow,non-commercial,Actual Data,1286721.08,YoY,NA,0.5,NA
2018-10-31,Inflow,non-commercial,Actual Data,1280550.22,YoY,NA,0.5,NA
2018-11-30,Inflow,non-commercial,Actual Data,1276219.1199999999,YoY,NA,0.5,NA
2018-12-31,Inflow,non-commercial,Actual Data,1260118.13,YoY,NA,0.5,NA
2019-01-31,Inflow,non-commercial,Actual Data,1259500.8,YoY,NA,0.5,NA
2019-02-28,Inflow,non-commercial,Actual Data,1255415.3900000001,YoY,NA,0.5,NA
2019-03-31,Inflow,non-commercial,Actual Data,1249343.17,YoY,NA,0.5,NA
2019-04-30,Inflow,non-commercial,Actual Data,1264773.91,YoY,NA,0.5,NA
2019-05-31,Inflow,non-commercial,Actual Data,1264278.04,YoY,NA,0.5,NA
2019-06-30,Inflow,non-commercial,Actual Data,1250882.27,YoY,NA,0.5,NA
2019-07-31,Inflow,non-commercial,Actual Data,1253631.0300000003,YoY,NA,0.5,NA
2019-08-31,Inflow,non-commercial,Actual Data,1258696.9600000002,YoY,NA,0.5,NA
2019-09-30,Inflow,non-commercial,Actual Data,1268582.7199999997,YoY,NA,0.5,NA
2019-10-31,Inflow,non-commercial,Actual Data,1270476.92,YoY,NA,0.5,NA
2019-11-30,Inflow,non-commercial,Actual Data,1271066.34,YoY,NA,0.5,NA
2019-12-31,Inflow,non-commercial,Actual Data,1281768.25,YoY,NA,0.5,NA
2020-01-31,Inflow,non-commercial,Actual Data,1282502.75,YoY,NA,0.5,NA
2020-02-29,Inflow,non-commercial,Actual Data,1282140.1500000001,YoY,NA,0.5,NA
2020-03-31,Inflow,non-commercial,Actual Data,1266578.8800000001,YoY,NA,0.5,NA
2020-04-30,Inflow,non-commercial,Actual Data,1223252.0100000002,YoY,NA,0.5,NA
2020-05-31,Inflow,non-commercial,Actual Data,1191712.1099999999,YoY,NA,0.5,NA
2020-06-30,Inflow,non-commercial,Actual Data,1195796.34,YoY,NA,0.5,NA
2020-07-31,Inflow,non-commercial,Actual Data,1189185.68,YoY,NA,0.5,NA
2020-08-31,Inflow,non-commercial,Actual Data,1186835.8199999998,YoY,NA,0.5,NA
2020-09-30,Inflow,non-commercial,Actual Data,1207065,YoY,NA,0.5,NA
2020-10-31,Inflow,non-commercial,Actual Data,1221164.8599999999,YoY,NA,0.5,NA
2020-11-30,Inflow,non-commercial,Actual Data,1232579.3199999998,YoY,NA,0.5,NA
2020-12-31,Inflow,non-commercial,Actual Data,1251353.5700000003,YoY,NA,0.5,NA
2021-01-31,Inflow,non-commercial,Actual Data,1264042.44,YoY,NA,0.5,NA
2021-02-28,Inflow,non-commercial,Actual Data,1281608.3199999998,YoY,NA,0.5,NA
2021-03-31,Inflow,non-commercial,Actual Data,1325896.8399999996,YoY,NA,0.5,NA
2021-04-30,Inflow,non-commercial,Actual Data,1387823.1399999997,YoY,NA,0.5,NA
2021-05-31,Inflow,non-commercial,Actual Data,1440556.7099999997,YoY,NA,0.5,NA
2021-06-30,Inflow,non-commercial,Actual Data,1469109.8299999998,YoY,NA,0.5,NA
2021-07-31,Inflow,non-commercial,Actual Data,1481444.5499999998,YoY,NA,0.5,NA
2021-08-31,Inflow,non-commercial,Actual Data,1488608.2699999998,YoY,NA,0.5,NA
2021-09-30,Inflow,non-commercial,Actual Data,1484587.79,YoY,NA,0.5,NA
2021-10-31,Inflow,non-commercial,Actual Data,1474996.1,YoY,NA,0.5,NA
2021-11-30,Inflow,non-commercial,Actual Data,1475790.2900000003,YoY,NA,0.5,NA
2021-12-31,Inflow,non-commercial,Actual Data,1467229.0700000003,YoY,NA,0.5,NA
2022-01-31,Inflow,non-commercial,Actual Data,1462673.4500000002,YoY,NA,0.5,NA
2022-02-28,Inflow,non-commercial,Actual Data,1454448.4800000002,YoY,NA,0.5,NA
2022-03-31,Inflow,non-commercial,Actual Data,1431447.1400000001,YoY,NA,0.5,NA
2022-04-30,Inflow,non-commercial,Actual Data,1452928.4500000002,YoY,NA,0.5,NA
2022-05-31,Inflow,non-commercial,Actual Data,1535103.31,YoY,NA,0.5,NA
2022-06-30,Inflow,non-commercial,Actual Data,1651398.07,YoY,NA,0.5,NA
2022-07-31,Inflow,non-commercial,Actual Data,1730190,YoY,NA,0.5,NA
2022-08-31,Inflow,non-commercial,Actual Data,1791412.35,YoY,NA,0.5,NA
2022-09-30,Inflow,non-commercial,Actual Data,1851974.17,YoY,NA,0.5,NA
2022-10-31,Inflow,non-commercial,Actual Data,1906099.0199999998,YoY,NA,0.5,NA
2022-11-30,Inflow,non-commercial,Actual Data,1959791.3599999999,YoY,NA,0.5,NA
2022-12-31,Inflow,non-commercial,Actual Data,1998067.1799999995,YoY,NA,0.5,NA
2023-01-31,Inflow,non-commercial,Actual Data,2025723.5599999998,YoY,NA,0.5,NA
2023-02-28,Inflow,non-commercial,Actual Data,2049969.46,YoY,NA,0.5,NA
2023-03-31,Inflow,non-commercial,Actual Data,2083333.91,YoY,NA,0.5,NA
2023-04-30,Inflow,non-commercial,Actual Data,2054704.42,YoY,NA,0.5,NA
2023-05-31,Inflow,non-commercial,Actual Data,1978248.4600000002,YoY,NA,0.5,NA
2023-06-30,Inflow,non-commercial,Actual Data,1846291.9600000002,YoY,NA,0.5,NA
2023-07-31,Inflow,non-commercial,Actual Data,1743031.9500000002,YoY,NA,0.5,NA
2023-08-31,Inflow,non-commercial,Actual Data,1654878.1,YoY,NA,0.5,NA
2023-09-30,Inflow,non-commercial,Actual Data,1554525.3399999999,YoY,NA,0.5,NA
2023-10-31,Inflow,non-commercial,Actual Data,1473770.7800000003,YoY,NA,0.5,NA
2023-11-30,Inflow,non-commercial,Actual Data,1388322.08,YoY,NA,0.5,NA
2023-12-31,Inflow,non-commercial,Actual Data,1315604.25,YoY,NA,0.5,NA
2024-01-31,Inflow,non-commercial,Actual Data,1281884.6500000001,YoY,NA,0.5,NA
2024-02-29,Inflow,non-commercial,Actual Data,1247045.6700000002,YoY,NA,0.5,NA
2024-03-31,Inflow,non-commercial,Actual Data,1201465.7799999998,YoY,NA,0.5,NA
2024-04-30,Inflow,non-commercial,Actual Data,1173552.0599999998,YoY,NA,0.5,NA
2024-05-31,Inflow,non-commercial,Actual Data,1128672.71,YoY,NA,0.5,NA
2024-06-30,Inflow,non-commercial,Actual Data,1081968.83,YoY,NA,0.5,NA
2024-07-31,Inflow,non-commercial,Forecast auto.arima,1041727.4890430034,YoY,1032664.9785905065,0.5,1050789.9994955005
2024-08-31,Inflow,non-commercial,Forecast auto.arima,1008651.3349102435,YoY,985703.7867649324,0.5,1031598.8830555545
2024-09-30,Inflow,non-commercial,Forecast auto.arima,989949.8066700378,YoY,950283.6598050928,0.5,1029615.9535349829
2024-10-31,Inflow,non-commercial,Forecast auto.arima,970780.1135876216,YoY,912473.6350472937,0.5,1029086.5921279493
2024-11-30,Inflow,non-commercial,Forecast auto.arima,957532.7748028212,YoY,879208.6705724044,0.5,1035856.8790332382
2024-12-31,Inflow,non-commercial,Forecast auto.arima,948759.4359839961,YoY,849401.4835758101,0.5,1048117.3883921823
2025-01-31,Inflow,non-commercial,Forecast auto.arima,922245.4765543266,YoY,801090.4667227267,0.5,1043400.4863859266
2025-02-28,Inflow,non-commercial,Forecast auto.arima,902819.3119809331,YoY,759287.2716700459,0.5,1046351.3522918205
2025-03-31,Inflow,non-commercial,Forecast auto.arima,891701.6885802695,YoY,725348.4416876669,0.5,1058054.935472872
2025-04-30,Inflow,non-commercial,Forecast auto.arima,885583.5967651125,YoY,696067.0359395313,0.5,1075100.1575906936
2025-05-31,Inflow,non-commercial,Forecast auto.arima,898166.1870386582,YoY,685221.7297757867,0.5,1111110.6443015295
2025-06-30,Inflow,non-commercial,Forecast auto.arima,930831.5534251571,YoY,694253.9491940092,0.5,1167409.157656305
2025-07-31,Inflow,non-commercial,Forecast auto.arima,964370.9897176793,YoY,712586.2601951752,0.5,1216155.719240183
2025-08-31,Inflow,non-commercial,Forecast auto.arima,994060.9415422605,YoY,731242.323445035,0.5,1256879.5596394856
2025-09-30,Inflow,non-commercial,Forecast auto.arima,1020343.2329814426,YoY,748827.1275665767,0.5,1291859.338396308
2025-10-31,Inflow,non-commercial,Forecast auto.arima,1043608.9778157675,YoY,764934.2898001419,0.5,1322283.6658313929
2025-11-30,Inflow,non-commercial,Forecast auto.arima,1064204.3997921385,YoY,779452.4346230256,0.5,1348956.3649612514
2025-12-31,Inflow,non-commercial,Forecast auto.arima,1082435.984871632,YoY,792393.4483370432,0.5,1372478.5214062207
2026-01-31,Inflow,non-commercial,Forecast auto.arima,1098575.0421287334,YoY,803826.7003926629,0.5,1393323.3838648037
2026-02-28,Inflow,non-commercial,Forecast auto.arima,1112861.7411739505,YoY,813848.4585950116,0.5,1411875.0237528891
2026-03-31,Inflow,non-commercial,Forecast auto.arima,1125508.6861817697,YoY,822566.1409017254,0.5,1428451.2314618137
2026-04-30,Inflow,non-commercial,Forecast auto.arima,1136704.0797100146,YoY,830089.6708915299,0.5,1443318.488528499
2026-05-31,Inflow,non-commercial,Forecast auto.arima,1146614.5233922454,YoY,836526.6492770856,0.5,1456702.3975074054
2026-06-30,Inflow,non-commercial,Forecast auto.arima,1155387.4971810526,YoY,841979.6693629816,0.5,1468795.3249991236
2024-07-31,Inflow,non-commercial,Forecast bats,1054608.5323869872,YoY,1048753.6160804748,0.5,1060873.557072556
2024-08-31,Inflow,non-commercial,Forecast bats,1037480.0561200506,YoY,1023257.8381651955,0.5,1052960.8728487126
2024-09-30,Inflow,non-commercial,Forecast bats,1032374.365539477,YoY,1008639.045355019,0.5,1058508.1717792947
2024-10-31,Inflow,non-commercial,Forecast bats,1027156.8934635473,YoY,992477.1807604126,0.5,1065678.3425034555
2024-11-30,Inflow,non-commercial,Forecast bats,1026011.8904174202,YoY,980690.7156724926,0.5,1076665.5363813087
2024-12-31,Inflow,non-commercial,Forecast bats,1025713.1489695145,YoY,967409.8758599758,0.5,1091241.0884115952
2025-01-31,Inflow,non-commercial,Forecast bats,1011344.8513896149,YoY,945800.0356532407,0.5,1085199.0251269091
2025-02-28,Inflow,non-commercial,Forecast bats,1003037.15714539,YoY,928635.9597075044,0.5,1087098.5580468918
2025-03-31,Inflow,non-commercial,Forecast bats,1000793.019076124,YoY,915930.6855303491,0.5,1096931.0044717307
2025-04-30,Inflow,non-commercial,Forecast bats,1001423.3520375567,YoY,905499.1108672889,0.5,1110345.9379806598
2025-05-31,Inflow,non-commercial,Forecast bats,1013280.6736098051,YoY,904088.5271222035,0.5,1137548.9108664629
2025-06-30,Inflow,non-commercial,Forecast bats,1046377.5413527865,YoY,921631.4824061883,0.5,1188644.2956335428
2025-07-31,Inflow,non-commercial,Forecast bats,1080713.1896288022,YoY,944983.2103103028,0.5,1236204.6068385476
2025-08-31,Inflow,non-commercial,Forecast bats,1110290.4659725612,YoY,966519.4800266706,0.5,1275561.409553838
2025-09-30,Inflow,non-commercial,Forecast bats,1134898.6458607728,YoY,985166.1749035217,0.5,1307433.252101088
2025-10-31,Inflow,non-commercial,Forecast bats,1157069.7023230437,YoY,1002447.3562620305,0.5,1335550.917222578
2025-11-30,Inflow,non-commercial,Forecast bats,1174541.4788499083,YoY,1016363.5887937584,0.5,1357329.6959808148
2025-12-31,Inflow,non-commercial,Forecast bats,1192170.8830770412,YoY,1030650.1453857607,0.5,1378987.9632512236
2026-01-31,Inflow,non-commercial,Forecast bats,1200412.716101759,YoY,1037423.2342585914,0.5,1388990.1704241047
2026-02-28,Inflow,non-commercial,Forecast bats,1208935.9842312385,YoY,1044508.8850078778,0.5,1399226.5640642315
2026-03-31,Inflow,non-commercial,Forecast bats,1217503.1309831617,YoY,1051698.6298260898,0.5,1409425.8656766
2026-04-30,Inflow,non-commercial,Forecast bats,1225247.4844629404,YoY,1058247.7964372383,0.5,1418579.0862333155
2026-05-31,Inflow,non-commercial,Forecast bats,1233214.7377410296,YoY,1065026.6382093963,0.5,1427940.7517422733
2026-06-30,Inflow,non-commercial,Forecast bats,1241245.9352524604,YoY,1071891.8506818118,0.5,1437334.7888872651
2024-07-31,Inflow,non-commercial,Forecast ets,1053835.4987174268,YoY,1047535.7322233479,0.5,1060135.2652115056
2024-08-31,Inflow,non-commercial,Forecast ets,1030667.7727617297,YoY,1015825.7885375428,0.5,1045509.7569859165
2024-09-30,Inflow,non-commercial,Forecast ets,1016291.8780235995,YoY,991604.9819451761,0.5,1040978.7741020228
2024-10-31,Inflow,non-commercial,Forecast ets,997461.5270586039,YoY,961278.2499785122,0.5,1033644.8041386956
2024-11-30,Inflow,non-commercial,Forecast ets,979735.3936532952,YoY,932317.2503791654,0.5,1027153.5369274248
2024-12-31,Inflow,non-commercial,Forecast ets,955870.4016533141,YoY,894620.7852213057,0.5,1017120.0180853222
2025-01-31,Inflow,non-commercial,Forecast ets,927624.7292716168,YoY,858413.8318289513,0.5,996835.6267142819
2025-02-28,Inflow,non-commercial,Forecast ets,900509.2618251793,YoY,821454.0351588376,0.5,979564.4884915209
2025-03-31,Inflow,non-commercial,Forecast ets,875043.7392428156,YoY,784023.0965356543,0.5,966064.3819499768
2025-04-30,Inflow,non-commercial,Forecast ets,851617.6821352891,YoY,747246.458225008,0.5,955988.9060455703
2025-05-31,Inflow,non-commercial,Forecast ets,834097.2474751505,YoY,713125.5234680196,0.5,955068.9714822816
2025-06-30,Inflow,non-commercial,Forecast ets,834121.8299821104,YoY,692511.5632354867,0.5,975732.0967287339
2025-07-31,Inflow,non-commercial,Forecast ets,834121.9844677589,YoY,675351.5479723058,0.5,992892.420963212
2025-08-31,Inflow,non-commercial,Forecast ets,834122.1322768393,YoY,660534.8715270626,0.5,1007709.393026616
2025-09-30,Inflow,non-commercial,Forecast ets,834122.2710126265,YoY,647621.1111487879,0.5,1020623.430876465
2025-10-31,Inflow,non-commercial,Forecast ets,834122.4109427081,YoY,635342.9549412974,0.5,1032901.8669441186
2025-11-30,Inflow,non-commercial,Forecast ets,834122.5329215408,YoY,625154.8043707057,0.5,1043090.261472376
2025-12-31,Inflow,non-commercial,Forecast ets,834122.6696328426,YoY,614209.4606097694,0.5,1054035.8786559158
2026-01-31,Inflow,non-commercial,Forecast ets,834122.7422849142,YoY,608604.3235926339,0.5,1059641.1609771948
2026-02-28,Inflow,non-commercial,Forecast ets,834122.8260864757,YoY,602347.9280557666,0.5,1065897.7241171852
2026-03-31,Inflow,non-commercial,Forecast ets,834122.9218521771,YoY,595405.6647112804,0.5,1072840.1789930742
2026-04-30,Inflow,non-commercial,Forecast ets,834123.0229384822,YoY,588269.8837016004,0.5,1079976.1621753643
2026-05-31,Inflow,non-commercial,Forecast ets,834123.1424479592,YoY,580034.9155917692,0.5,1088211.3693041494
2026-06-30,Inflow,non-commercial,Forecast ets,834123.2843041318,YoY,570473.4444295259,0.5,1097773.1241787379
2024-07-31,Inflow,non-commercial,Forecast stlm,1048644.7731423327,YoY,1044945.5864031757,0.5,1052343.9598814896
2024-08-31,Inflow,non-commercial,Forecast stlm,1016416.8614623699,YoY,1007474.5551153416,0.5,1025359.1678093981
2024-09-30,Inflow,non-commercial,Forecast stlm,991741.251180779,YoY,976362.8883513071,0.5,1007119.6140102509
2024-10-31,Inflow,non-commercial,Forecast stlm,960866.5167469989,YoY,938039.4831941663,0.5,983693.5502998313
2024-11-30,Inflow,non-commercial,Forecast stlm,930268.00736216,YoY,899094.0531309098,0.5,961441.9615934103
2024-12-31,Inflow,non-commercial,Forecast stlm,900941.5859456841,YoY,860603.071409879,0.5,941280.1004814891
2025-01-31,Inflow,non-commercial,Forecast stlm,847116.4778782311,YoY,796856.3645143467,0.5,897376.5912421152
2025-02-28,Inflow,non-commercial,Forecast stlm,797941.1367221834,YoY,737049.97664104,0.5,858832.2968033272
2025-03-31,Inflow,non-commercial,Forecast stlm,754046.9275938711,YoY,681853.8444103225,0.5,826240.0107774198
2025-04-30,Inflow,non-commercial,Forecast stlm,712489.2619368616,YoY,628355.3966975207,0.5,796623.1271762024
2025-05-31,Inflow,non-commercial,Forecast stlm,688977.9782568129,YoY,592291.5509447966,0.5,785664.4055688296
2025-06-30,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,579152.8148217613,0.5,798807.8551930812
2025-07-31,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,569142.5869101012,0.5,808818.0831047413
2025-08-31,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,560125.7183523602,0.5,817834.9516624823
2025-09-30,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,551766.9367437485,0.5,826193.733271094
2025-10-31,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,543899.9536555888,0.5,834060.7163592539
2025-11-30,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,536423.0121796387,0.5,841537.6578352038
2025-12-31,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,529266.8914376615,0.5,848693.7785771812
2026-01-31,Inflow,non-commercial,Forecast stlm,688980.3350074213,YoY,522381.33039437956,0.5,855579.339620463
2026-02-28,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,515728.16676914133,0.5,862232.5032457011
2026-03-31,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,509277.45939004794,0.5,868683.2106247945
2026-04-30,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,503005.1179542541,0.5,874955.5520605883
2026-05-31,Inflow,non-commercial,Forecast stlm,688980.3350074211,YoY,496891.3672325603,0.5,881069.3027822821
2026-06-30,Inflow,non-commercial,Forecast stlm,688980.3350074212,YoY,490919.7059652806,0.5,887040.9640495618
2013-01-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-02-28,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-03-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-04-30,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-05-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-06-30,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-07-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-08-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-09-30,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-10-31,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-11-30,Inflow,total,Actual Data,NA,YoY,NA,0.5,NA
2013-12-31,Inflow,total,Actual Data,2302335.5100000002,YoY,NA,0.5,NA
2014-01-31,Inflow,total,Actual Data,2312509.3200000003,YoY,NA,0.5,NA
2014-02-28,Inflow,total,Actual Data,2300762.1500000004,YoY,NA,0.5,NA
2014-03-31,Inflow,total,Actual Data,2302899.7700000005,YoY,NA,0.5,NA
2014-04-30,Inflow,total,Actual Data,2288256.27,YoY,NA,0.5,NA
2014-05-31,Inflow,total,Actual Data,2288356.91,YoY,NA,0.5,NA
2014-06-30,Inflow,total,Actual Data,2281911.06,YoY,NA,0.5,NA
2014-07-31,Inflow,total,Actual Data,2269709.45,YoY,NA,0.5,NA
2014-08-31,Inflow,total,Actual Data,2268597.5,YoY,NA,0.5,NA
2014-09-30,Inflow,total,Actual Data,2265414.2800000003,YoY,NA,0.5,NA
2014-10-31,Inflow,total,Actual Data,2243237.94,YoY,NA,0.5,NA
2014-11-30,Inflow,total,Actual Data,2181223.5999999996,YoY,NA,0.5,NA
2014-12-31,Inflow,total,Actual Data,2123614.84,YoY,NA,0.5,NA
2015-01-31,Inflow,total,Actual Data,2073278.75,YoY,NA,0.5,NA
2015-02-28,Inflow,total,Actual Data,2022067.3399999999,YoY,NA,0.5,NA
2015-03-31,Inflow,total,Actual Data,1975757.27,YoY,NA,0.5,NA
2015-04-30,Inflow,total,Actual Data,1923081.89,YoY,NA,0.5,NA
2015-05-31,Inflow,total,Actual Data,1879202.92,YoY,NA,0.5,NA
2015-06-30,Inflow,total,Actual Data,1852919.58,YoY,NA,0.5,NA
2015-07-31,Inflow,total,Actual Data,1797403.88,YoY,NA,0.5,NA
2015-08-31,Inflow,total,Actual Data,1730829.9499999997,YoY,NA,0.5,NA
2015-09-30,Inflow,total,Actual Data,1696867.7299999997,YoY,NA,0.5,NA
2015-10-31,Inflow,total,Actual Data,1640661.89,YoY,NA,0.5,NA
2015-11-30,Inflow,total,Actual Data,1626372.9500000002,YoY,NA,0.5,NA
2015-12-31,Inflow,total,Actual Data,1631659.3000000003,YoY,NA,0.5,NA
2016-01-31,Inflow,total,Actual Data,1622005.77,YoY,NA,0.5,NA
2016-02-29,Inflow,total,Actual Data,1637271.44,YoY,NA,0.5,NA
2016-03-31,Inflow,total,Actual Data,1632057.39,YoY,NA,0.5,NA
2016-04-30,Inflow,total,Actual Data,1621795.5499999998,YoY,NA,0.5,NA
2016-05-31,Inflow,total,Actual Data,1599404.96,YoY,NA,0.5,NA
2016-06-30,Inflow,total,Actual Data,1571457.66,YoY,NA,0.5,NA
2016-07-31,Inflow,total,Actual Data,1537399.41,YoY,NA,0.5,NA
2016-08-31,Inflow,total,Actual Data,1523914.3499999999,YoY,NA,0.5,NA
2016-09-30,Inflow,total,Actual Data,1501455.66,YoY,NA,0.5,NA
2016-10-31,Inflow,total,Actual Data,1493265.2200000002,YoY,NA,0.5,NA
2016-11-30,Inflow,total,Actual Data,1489321.6700000002,YoY,NA,0.5,NA
2016-12-31,Inflow,total,Actual Data,1532882.8800000001,YoY,NA,0.5,NA
2017-01-31,Inflow,total,Actual Data,1554694.8800000001,YoY,NA,0.5,NA
2017-02-28,Inflow,total,Actual Data,1553069.47,YoY,NA,0.5,NA
