"date","nace_2_code","type_arm","type_eng","name_arm","name_eng","wages","wages_corrected","wages_cumulative","employees"
"2018-02-28","E","Ոչ Պետական","Non-public","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",166493,166493,173938.5,4692
"2018-02-28","F","Ոչ Պետական","Non-public","Շինարարություն","Construction",181826,181826,179420.5,16027
"2018-02-28","G","Ոչ Պետական","Non-public","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",122001,122001,123464.5,73731
"2018-02-28","H","Ոչ Պետական","Non-public","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",151544,151544,155763,11663
"2018-02-28","I","Ոչ Պետական","Non-public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",101512,101512,104262,16938
"2018-02-28","J","Ոչ Պետական","Non-public","Տեղեկատվություն և կապ","Information and communication",386650,386650,392504.5,18879
"2018-02-28","K","Ոչ Պետական","Non-public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",393385,393385,362466,18507
"2018-02-28","L","Ոչ Պետական","Non-public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",124224,124224,124683.5,6637
"2018-02-28","M","Ոչ Պետական","Non-public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",190282,190282,192222.5,12188
"2018-02-28","N","Ոչ Պետական","Non-public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",129754,129754,129923,9664
"2018-02-28","O","Ոչ Պետական","Non-public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",0,0,0,0
"2018-02-28","P","Ոչ Պետական","Non-public","Կրթություն","Education",161308,161308,166293,7874
"2018-02-28","Q","Ոչ Պետական","Non-public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",143482,143482,145545.5,18032
"2018-02-28","R","Ոչ Պետական","Non-public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",129887,129887,132671,6146
"2018-02-28","S","Ոչ Պետական","Non-public","Սպասարկման այլ ծառայություններ","Other service activities",118536,118536,120932.5,12773
"2018-02-28","58.2, 62, 63.1","Պետական","Public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",383679,383679,372268.5,112
"2018-02-28","72","Պետական","Public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",123081,123081,122245.5,5128
"2018-02-28","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",102888,102888,NA,NA
"2018-02-28","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","90-91","Պետական","Public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","A","Պետական","Public","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",117814,117814,116065.5,1402
"2018-02-28","A-S","Պետական","Public","Ընդամենը","Total",140859,140859,140561,200580
"2018-02-28","B","Պետական","Public","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",0,0,0,0
"2018-02-28","C","Պետական","Public","Մշակող արդյունաբերություն","Manufacturing",0,0,0,0
"2018-02-28","D","Պետական","Public","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",310345,310345,310965.5,1792
"2018-02-28","E","Պետական","Public","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",97324,97324,99835.5,1765
"2018-02-28","F","Պետական","Public","Շինարարություն","Construction",164728,164728,163926.5,194
"2018-02-28","G","Պետական","Public","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0
"2018-02-28","H","Պետական","Public","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",162518,162518,174352.5,8174
"2018-02-28","I","Պետական","Public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",0,0,0,0
"2018-02-28","J","Պետական","Public","Տեղեկատվություն և կապ","Information and communication",179107,179107,183330.5,1762
"2018-02-28","K","Պետական","Public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",339964,339964,374889,958
"2018-02-28","L","Պետական","Public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",116276,116276,113287,1027
"2018-02-28","M","Պետական","Public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",135069,135069,137824.5,7194
"2018-02-28","N","Պետական","Public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",121503,121503,118807.5,1932
"2018-02-28","O","Պետական","Public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",235214,235214,224476.5,37113
"2018-02-28","P","Պետական","Public","Կրթություն","Education",107811,107811,109058.5,102107
"2018-02-28","Q","Պետական","Public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",129604,129604,132423,25423
"2018-02-28","R","Պետական","Public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",102529,102529,102587,9454
