code,indicator,date,month,year,B_RUB_year_cum,B_RUB,B_RUB_12,levels,USD_RUB,B_USD,B_USD_12,B_USD_year_cum
4.2.,External financing,2018-12-01,12,2018,-135.5,15.699999999999989,-135.49999999999997,2,67.57889047619048,0.23232106785670656,-2.061371360740699,-2.0613713607406994
4.2.,External financing,2019-01-01,1,2019,-96.3,-96.3,-222.7,2,66.543795,-1.4471672377567284,-3.3476455039141237,-1.4471672377567284
4.2.,External financing,2019-02-01,2,2019,-130.4,-34.10000000000001,-250.89999999999998,2,65.851305,-0.5178333216023587,-3.7617352847318513,-1.9650005593590871
4.2.,External financing,2019-03-01,3,2019,119.5,249.9,-74.4,2,65.100775,3.8386639790386523,-1.2078695930289092,1.8736634196795652
4.2.,External financing,2019-04-01,4,2019,124.9,5.400000000000006,-64.69999999999999,2,64.55055454545455,0.08365536187915301,-1.0536371305540357,1.957318781558718
4.2.,External financing,2019-05-01,5,2019,113.7,-11.200000000000003,-79.7,2,64.91201904761905,-0.17254123603494373,-1.2872177759416707,1.7847775455237744
4.2.,External financing,2019-06-01,6,2019,257,143.3,75.20000000000003,2,64.05264736842105,2.2372221272254413,1.1347284144063186,4.0219996727492155
4.2.,External financing,2019-07-01,7,2019,259.3,2.3000000000000114,243.40000000000003,2,63.244408695652176,0.03636685119578212,3.8119623104857694,4.058366523944998
4.2.,External financing,2019-08-01,8,2019,255.4,-3.9000000000000057,245.70000000000002,2,65.83747727272727,-0.05923677761595453,3.845984151182564,3.9991297463290434
4.2.,External financing,2019-09-01,9,2019,350.7,95.29999999999998,332.90000000000003,2,64.93160476190477,1.4676982087452164,5.193913221595756,5.46682795507426
4.2.,External financing,2019-10-01,10,2019,349.9,-0.8000000000000114,344.2,2,64.32534782608695,-0.012436776901120366,5.3651927624070215,5.45439117817314
4.2.,External financing,2019-11-01,11,2019,345.4,-4.5,361.09999999999997,2,63.889615,-0.07043398211117723,5.6162782639186695,5.383957196061962
4.2.,External financing,2019-12-01,12,2019,289.3,-56.099999999999966,289.3,2,62.871900000000004,-0.8922905145223854,4.491666681539577,4.491666681539577
4.2.,External financing,2020-01-01,1,2020,-2.2,-2.2,383.40000000000003,2,61.956055,-0.03550903943125495,5.903324879865051,-0.03550903943125495
4.2.,External financing,2020-02-01,2,2020,-15.7,-13.5,404.00000000000006,2,64.1023,-0.21060086767557482,6.210557333791835,-0.24610990710682976
4.2.,External financing,2020-03-01,3,2020,-45.1,-29.400000000000002,124.70000000000002,2,74.61494761904761,-0.39402292621183593,1.977870428541346,-0.6401328333186657
4.2.,External financing,2020-04-01,4,2020,-299.8,-254.70000000000002,-135.39999999999998,2,75.01677272727272,-3.395240700716022,-1.5010256340538295,-4.0353735340346875
4.2.,External financing,2020-05-01,5,2020,-306,-6.199999999999989,-130.39999999999998,2,72.54687894736843,-0.0854619811349567,-1.4139463791538416,-4.120835515169644
4.2.,External financing,2020-06-01,6,2020,-309.8,-3.8000000000000114,-277.5,2,69.29886,-0.05483495688096472,-3.7060034632602483,-4.175670472050609
4.2.,External financing,2020-07-01,7,2020,-303,6.800000000000011,-273,2,71.59179545454546,0.09498295100473374,-3.6473873634512968,-4.080687521045875
4.2.,External financing,2020-08-01,8,2020,-305.2,-2.1999999999999886,-271.3,2,73.80014285714286,-0.029810240398295627,-3.617960826233638,-4.110497761444171
4.2.,External financing,2020-09-01,9,2020,-391.2,-86,-452.59999999999997,2,76.08847727272727,-1.130263123701982,-6.215922158680836,-5.240760885146153
4.2.,External financing,2020-10-01,10,2020,-398.3,-7.100000000000023,-458.9,2,77.63313636363637,-0.0914557923660764,-6.294941174145793,-5.332216677512229
4.2.,External financing,2020-11-01,11,2020,-231.7,166.60000000000002,-287.79999999999995,2,76.746795,2.170774688376238,-4.053732503658377,-3.1614419891359913
4.2.,External financing,2020-12-01,12,2020,-300.8,-69.10000000000002,-300.8,2,74.06090909090909,-0.9330158223575192,-4.094457811493511,-4.094457811493511
4.2.,External financing,2021-01-01,1,2021,-5.5,-5.5,-304.1,2,74.39837894736843,-0.07392634191520302,-4.132875113977459,-0.07392634191520302
4.2.,External financing,2021-02-01,2,2021,-13.4,-7.9,-298.5,2,74.39369,-0.10619180201976806,-4.028466048321652,-0.18011814393497108
4.2.,External financing,2021-03-01,3,2021,-47.8,-34.4,-303.49999999999994,2,74.53394090909092,-0.46153469923128976,-4.095977821341106,-0.6416528431662608
4.2.,External financing,2021-04-01,4,2021,-60.9,-13.100000000000001,-61.9,2,76.06234545454545,-0.17222713711646598,-0.8729642577415496,-0.8138799802827268
4.2.,External financing,2021-05-01,5,2021,62.6,123.5,67.79999999999998,2,73.89596,1.6712686322770554,0.8837663556704624,0.8573886519943286
4.2.,External financing,2021-06-01,6,2021,20.6,-42,29.599999999999994,2,72.60088636363636,-0.578505333800395,0.36009597875103205,0.2788833181939335
4.2.,External financing,2021-07-01,7,2021,8.4,-12.200000000000001,10.599999999999982,2,73.9693909090909,-0.16493308718729235,0.10017994055900595,0.11395023100664115
4.2.,External financing,2021-08-01,8,2021,4,-4.4,8.39999999999997,2,73.58698636363637,-0.05979318106950358,0.07019699988779798,0.05415704993713757
4.2.,External financing,2021-09-01,9,2021,-15.9,-19.9,74.49999999999997,2,72.88477727272728,-0.27303369434108665,0.9274264292486931,-0.21887664440394908
4.2.,External financing,2021-10-01,10,2021,-18,-2.0999999999999996,79.5,2,71.2954761904762,-0.029454884267685447,0.9894273373470842,-0.24833152867163452
4.2.,External financing,2021-11-01,11,2021,-34.9,-16.9,-104.00000000000003,2,72.93830476190476,-0.23170267056750635,-1.4130500215966602,-0.48003419923914087
4.2.,External financing,2021-12-01,12,2021,-39.4,-4.5,-39.4,2,73.8456409090909,-0.06093792327620003,-0.5409721225153409,-0.5409721225153409
4.2.,External financing,2022-01-01,1,2022,4.7,4.7,-29.200000000000006,2,76.61770952380952,0.061343520045315895,-0.40570226055482195,0.061343520045315895
4.2.,External financing,2022-02-01,2,2022,2.8,-1.9000000000000004,-23.200000000000003,2,79.94215,-0.023767186646844005,-0.32327764518189794,0.03757633339847189
4.2.,External financing,2022-03-01,3,2022,-270.2,-273,-261.8,2,106.44739130434783,-2.5646471618966706,-2.4263901078472787,-2.5270708284981986
4.2.,External financing,2022-04-01,4,2022,-279.9,-9.699999999999989,-258.4,2,77.60380952380953,-0.12499386382602704,-2.3791568345568397,-2.6520646923242257
4.2.,External financing,2022-05-01,5,2022,-296.3,-16.400000000000034,-398.3,2,64.02,-0.25616994689159694,-4.306595413725492,-2.9082346392158227
4.2.,External financing,2022-06-01,6,2022,-330.7,-34.39999999999998,-390.7,2,56.535833333333336,-0.6084636587415057,-4.336553738666603,-3.5166982979573285
4.2.,External financing,2022-07-01,7,2022,-354.2,-23.5,-402,2,58.59119047619048,-0.4010841870425832,-4.572704838521894,-3.9177824849999117
4.2.,External financing,2022-08-01,8,2022,-361.8,-7.600000000000023,-405.20000000000005,2,60.31239130434783,-0.12601058979155666,-4.638922247243947,-4.043793074791468
4.2.,External financing,2022-09-01,9,2022,-398.9,-37.099999999999966,-422.4,2,59.70352272727273,-0.6214038687377585,-4.987292421640619,-4.665196943529227
4.2.,External financing,2022-10-01,10,2022,-405.9,-7,-427.3,2,61.58047619047619,-0.11367239152792706,-5.07150992890086,-4.778869335057154
4.2.,External financing,2022-11-01,11,2022,-423,-17.100000000000023,-427.5,2,60.87559523809524,-0.2809007441014563,-5.12070800243481,-5.05977007915861
4.2.,External financing,2022-12-01,12,2022,-526.7,-103.70000000000005,-526.7,2,66.19181818181818,-1.566658883959842,-6.626428963118451,-6.626428963118452
4.2.,External financing,2023-01-01,1,2023,-5.7,-5.7,-537.1000000000001,2,69.6497619047619,-0.08183803998919766,-6.7696105231529655,-0.08183803998919766
4.2.,External financing,2023-02-01,2,2023,-24.5,-18.8,-554,2,73.34934210526316,-0.2563076840283072,-7.00215102053443,-0.33814572401750487
4.2.,External financing,2023-03-01,3,2023,-52.2,-27.700000000000003,-308.70000000000005,2,76.30238636363636,-0.36302927496906007,-4.800533133606819,-0.701174998986565
4.2.,External financing,2023-04-01,4,2023,-54.8,-2.5999999999999943,-301.6,2,81.173555,-0.03203013592296154,-4.707569405703754,-0.7332051349095265
4.2.,External financing,2023-05-01,5,2023,-60.1,-5.300000000000004,-290.50000000000006,2,79.36642857142857,-0.06677886475929914,-4.518178323571455,-0.7999839996688256
4.2.,External financing,2023-06-01,6,2023,-71.5,-11.399999999999999,-267.5,2,83.975,-0.1357546888955046,-4.045469353725454,-0.9357386885643302
4.2.,External financing,2023-07-01,7,2023,-116,-44.5,-288.50000000000006,2,90.63869047619048,-0.4909603146979438,-4.135345481380814,-1.4266990032622742
4.2.,External financing,2023-08-01,8,2023,-147.1,-31.099999999999994,-312,2,95.48184782608696,-0.3257163608379921,-4.335051252427251,-1.7524153641002662
4.2.,External financing,2023-09-01,9,2023,-489.9,-342.79999999999995,-617.7,2,96.73345238095239,-3.543758560895735,-7.257405944585227,-5.296173924996001
4.2.1.,Borrowing and Securities Placement,2011-01-01,1,2011,0.1,0.1,NA,3,30.083314285714284,0.0033241018276861595,-7.140409451229615,0.0033241018276861595
4.2.1.,Borrowing and Securities Placement,2011-02-01,2,2011,0.3,0.19999999999999998,NA,3,29.248685000000002,0.006837914251529598,-6.852670792876628,0.010162016079215758
4.2.1.,Borrowing and Securities Placement,2011-03-01,3,2011,0.3,0,NA,3,28.415652173913042,0,-5.286011908916786,0.010162016079215758
