"code","arm","rus","eng","date","value"
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2021-Q1",130556.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2021-Q2",171367.4
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2021-Q3",143197.2
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2021-Q4",149295.99999999994
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2022-Q1",146464.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2022-Q2",153120.4
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2022-Q3",105721.3
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2022-Q4",118827.00000000001
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2023-Q1",117696.5
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2023-Q2",113921.5
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2023-Q3",128586.9
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2013-Q1",212616.3
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2013-Q2",217529
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2013-Q3",233176.8
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2013-Q4",252250.9
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2014-Q1",201981.3
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2014-Q2",241927.4
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2014-Q3",265413.7
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2014-Q4",286608.6
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2015-Q1",211240.4
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2015-Q2",249000.2
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2015-Q3",266359.5
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2015-Q4",266424.5
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2016-Q1",208265.2
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2016-Q2",281316.2
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2016-Q3",300459.1
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2016-Q4",316263.0000000001
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2017-Q1",251054.2
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2017-Q2",328189.8
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2017-Q3",344353.6
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2017-Q4",391183.79999999993
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2018-Q1",314407.7
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2018-Q2",350732.1
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2018-Q3",408139.9
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2018-Q4",455421.30000000005
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2019-Q1",336705.5
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2019-Q2",378294
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2019-Q3",449339.3
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2019-Q4",537605
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2020-Q1",333955.4
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2020-Q2",344089.7
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2020-Q3",447037.1
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2020-Q4",548079.2000000001
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2021-Q1",295860
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2021-Q2",385209.1
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2021-Q3",464425.3
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2021-Q4",616957.0999999999
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2022-Q1",358076.7
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2022-Q2",488258.1
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2022-Q3",609929.4
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2022-Q4",728543.6
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2023-Q1",407779.2
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2023-Q2",514180.7
"C","Մշակող արդյունաբերություն","Обрабатывющая промышленность","Manufacturing","2023-Q3",575374.4
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2013-Q1",69870.1
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2013-Q2",43973.4
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2013-Q3",61788.3
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2013-Q4",112095.7
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2014-Q1",82461.6
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2014-Q2",59935.5
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2014-Q3",71137.5
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2014-Q4",96450.9
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2015-Q1",85774.9
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом","Electricity, gas, steam and air conditioning supply","2015-Q2",81458.7
