country,cities,indicator_group,indicator,city_urls,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Belarus,Minsk,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,90.55,60.6,121.2,2053,0,2023-12-01
Belarus,Minsk,Clothing And Shoes,1 Pair of Men Leather Business Shoes,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,97.58,39.39,181.8,2053,0,2023-12-01
Belarus,Minsk,Rent Per Month,Apartment (1 bedroom) in City Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,384.22,248.46,600,2053,0,2023-12-01
Belarus,Minsk,Rent Per Month,Apartment (1 bedroom) Outside of Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,241.56,181.8,380,2053,0,2023-12-01
Belarus,Minsk,Rent Per Month,Apartment (3 bedrooms) in City Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,679.51,500,1060.48,2053,0,2023-12-01
Belarus,Minsk,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,435.79,333.28999999999996,700,2053,0,2023-12-01
Belarus,Minsk,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1792.46,1363.48,3000,2053,0,2023-12-01
Belarus,Minsk,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1146.37,908.99,1500,2053,0,2023-12-01
Belarus,Minsk,Salaries And Financing,Average Monthly Net Salary (After Tax),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,537.19,NA,NA,2053,0,2023-12-01
Belarus,Minsk,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,18,13,23,2053,0,2023-12-01
Russia,Moscow,Restaurants,"Meal, Inexpensive Restaurant",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,7.99,4.359999999999999,16.35,10819,1,2023-12-01
Russia,Moscow,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,34,26.16,65.39,10819,1,2023-12-01
Russia,Moscow,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,4.359999999999999,3.81,5.45,10819,1,2023-12-01
Russia,Moscow,Restaurants,Domestic Beer (0.5 liter draught),https://www.numbeo.com/cost-of-living/in/Moscow?displayCurrency=USD,3.27,1.63,3.81,10819,1,2023-12-01
