date,year,FX_ISO,USD_FX
2021-11-09,2021,HKD,7.7904
2021-11-08,2021,HKD,7.7882
2021-11-05,2021,HKD,7.7823
2021-11-04,2021,HKD,7.7825
2021-11-03,2021,HKD,7.7838
2021-11-02,2021,HKD,7.782
2021-11-01,2021,HKD,7.7827
2021-10-29,2021,HKD,7.7787
2021-10-28,2021,HKD,7.7771
2021-10-27,2021,HKD,7.7778
2021-10-26,2021,HKD,7.7755
2021-10-25,2021,HKD,7.7743
2021-10-22,2021,HKD,7.7729
2021-10-21,2021,HKD,7.7746
2021-10-20,2021,HKD,7.7735
2021-10-19,2021,HKD,7.7751
2021-10-18,2021,HKD,7.7775
2021-10-15,2021,HKD,7.7765
2021-10-14,2021,HKD,7.7782
2021-10-13,2021,HKD,7.7793
2021-10-12,2021,HKD,7.7815
2021-10-11,2021,HKD,7.7779
2021-10-08,2021,HKD,7.7839
2021-10-07,2021,HKD,7.7848
2021-10-06,2021,HKD,7.7863
2021-10-05,2021,HKD,7.7856
2021-10-04,2021,HKD,7.787
2021-10-01,2021,HKD,7.7844
2021-09-30,2021,HKD,7.7859
2021-09-29,2021,HKD,7.7854
2021-09-28,2021,HKD,7.7827
2021-09-27,2021,HKD,7.7832
2021-09-24,2021,HKD,7.7854
2021-09-23,2021,HKD,7.7843
2021-09-22,2021,HKD,7.7862
2021-09-21,2021,HKD,7.7867
2021-09-20,2021,HKD,7.7869
2021-09-17,2021,HKD,7.7818
2021-09-16,2021,HKD,7.782
2021-09-15,2021,HKD,7.7818
2021-09-14,2021,HKD,7.7779
2021-09-13,2021,HKD,7.7797
2021-09-10,2021,HKD,7.7776
2021-09-09,2021,HKD,7.7777
2021-09-08,2021,HKD,7.7759
2021-09-07,2021,HKD,7.7745
2021-09-06,2021,HKD,7.7732
2021-09-03,2021,HKD,7.7705
2021-09-02,2021,HKD,7.7707
2021-09-01,2021,HKD,7.7769
2021-08-31,2021,HKD,7.7773
2021-08-30,2021,HKD,7.786
2021-08-27,2021,HKD,7.7876
2021-08-26,2021,HKD,7.7872
2021-08-25,2021,HKD,7.7838
2021-08-24,2021,HKD,7.7876
2021-08-23,2021,HKD,7.7924
2021-08-20,2021,HKD,7.7909
2021-08-19,2021,HKD,7.7898
2021-08-18,2021,HKD,7.7881
2021-08-17,2021,HKD,7.7922
2021-08-16,2021,HKD,7.7841
2021-08-13,2021,HKD,7.7828
2021-08-12,2021,HKD,7.7812
2021-08-11,2021,HKD,7.7784
2021-08-10,2021,HKD,7.7813
2021-08-09,2021,HKD,7.7835
2021-08-06,2021,HKD,7.7795
2021-08-05,2021,HKD,7.7769
2021-08-04,2021,HKD,7.7754
2021-08-03,2021,HKD,7.7781
2021-08-02,2021,HKD,7.7723
2021-07-30,2021,HKD,7.772
2021-07-29,2021,HKD,7.7702
2021-07-28,2021,HKD,7.7805
2021-07-27,2021,HKD,7.7852
2021-07-26,2021,HKD,7.7784
2021-07-23,2021,HKD,7.769
2021-07-22,2021,HKD,7.7706
2021-07-21,2021,HKD,7.773
2021-07-20,2021,HKD,7.7728
2021-07-19,2021,HKD,7.7707
2021-07-16,2021,HKD,7.7678
2021-07-15,2021,HKD,7.7677
2021-07-14,2021,HKD,7.7667
2021-07-13,2021,HKD,7.7656
2021-07-12,2021,HKD,7.7662
2021-07-09,2021,HKD,7.7671
2021-07-08,2021,HKD,7.7681
2021-07-07,2021,HKD,7.7681
2021-07-06,2021,HKD,7.7665
2021-07-05,2021,HKD,7.767
2021-07-02,2021,HKD,7.7651
2021-07-01,2021,HKD,7.7654
2021-06-30,2021,HKD,7.7641
2021-06-29,2021,HKD,7.7635
2021-06-28,2021,HKD,7.7623
2021-06-25,2021,HKD,7.7615
2021-06-24,2021,HKD,7.7629
2021-06-23,2021,HKD,7.765
2021-06-22,2021,HKD,7.7667
2021-06-21,2021,HKD,7.7648
2021-06-18,2021,HKD,7.7627
2021-06-17,2021,HKD,7.7644
2021-06-16,2021,HKD,7.763
2021-06-15,2021,HKD,7.7622
2021-06-14,2021,HKD,7.7616
2021-06-11,2021,HKD,7.7608
2021-06-10,2021,HKD,7.7603
2021-06-09,2021,HKD,7.7594
2021-06-08,2021,HKD,7.7599
2021-06-07,2021,HKD,7.759
2021-06-04,2021,HKD,7.7563
2021-06-03,2021,HKD,7.7581
2021-06-02,2021,HKD,7.7584
2021-06-01,2021,HKD,7.7589
2021-05-31,2021,HKD,7.7607
2021-05-28,2021,HKD,7.7615
2021-05-27,2021,HKD,7.7602
2021-05-26,2021,HKD,7.7621
2021-05-25,2021,HKD,7.7624
2021-05-24,2021,HKD,7.7646
2021-05-21,2021,HKD,7.7642
2021-05-20,2021,HKD,7.7624
2021-05-19,2021,HKD,7.7645
2021-05-18,2021,HKD,7.7656
2021-05-17,2021,HKD,7.7664
2021-05-14,2021,HKD,7.7676
2021-05-13,2021,HKD,7.7679
2021-05-12,2021,HKD,7.7658
2021-05-11,2021,HKD,7.7683
2021-05-10,2021,HKD,7.7653
2021-05-07,2021,HKD,7.7661
2021-05-06,2021,HKD,7.7681
2021-05-05,2021,HKD,7.7692
2021-05-04,2021,HKD,7.768
2021-05-03,2021,HKD,7.7664
2021-04-30,2021,HKD,7.7674
2021-04-29,2021,HKD,7.7631
2021-04-28,2021,HKD,7.7631
2021-04-27,2021,HKD,7.7618
2021-04-26,2021,HKD,7.7601
2021-04-23,2021,HKD,7.7594
2021-04-22,2021,HKD,7.7598
