"code","arm","eng","rus","year","production","vol_YoY_pct"
"E","Ջրամատակարարում, կոյուղի, թափոնների կառավարում և վերամշակում","Water supply, sewerage, waste management and remediation activities","Водоснабжение, канализация, очистка, обработка отходов и получение вторичного сырья",2023,33691.899999999994,108
"F","Շինարարություն","Construction","Строительство",2012,501083.4,NA
"F","Շինարարություն","Construction","Строительство",2013,476564,92.6
"F","Շինարարություն","Construction","Строительство",2014,448772.6,95.5
"F","Շինարարություն","Construction","Строительство",2015,474107,96.9
"F","Շինարարություն","Construction","Строительство",2016,393176.4,85.9
"F","Շինարարություն","Construction","Строительство",2017,404402.7,102.8
"F","Շինարարություն","Construction","Строительство",2018,397355,100.6
"F","Շինարարություն","Construction","Строительство",2019,415445,106.5
"F","Շինարարություն","Construction","Строительство",2020,427067.00000000006,94.1
"F","Շինարարություն","Construction","Строительство",2021,455200.8,103.1
"F","Շինարարություն","Construction","Строительство",2022,578003.2,118.6
"F","Շինարարություն","Construction","Строительство",2023,654082.7,116
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2012,514924.3,NA
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2013,548613.3,101.8
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2014,570369,103.4
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2015,551484.5,91.7
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2016,499043.6,105.1
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2017,614987.4,120.5
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2018,692653.8000000002,109.3
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2019,762887.5,109
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2020,669964.7,86.8
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2021,770436.1000000001,107.4
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2022,988377.4,117.6
"G","Մեծածախ և մանրածախ առևտուր. ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles, motorcycles","Оптовая и розничная торговля, ремонт автомобилей и мотоциклов",2023,1200626.3,123.5
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2012,130856.8,NA
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2013,120135.6,88.1
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2014,144518.3,119.6
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2015,125911.5,84.1
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2016,143495.6,116.5
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2017,169358.20000000007,114.2
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2018,192123.2,110
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2019,208051,106.7
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2020,147721.3,70.8
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2021,214482.3,126.3
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2022,300421.1,128.5
"H","Փոխադրումներ և պահեստային տնտեսություն","Тransportations and warehouse economy","Перевозки и складское хозяйство",2023,363225.5,113.5
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2012,36093.8,NA
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2013,44336.4,118.5
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2014,55106.1,116.2
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2015,60263.3,103.7
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2016,62415.9,102.1
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2017,78159.5,124.9
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2018,97263.90000000001,120.1
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2019,123527.3,122.7
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2020,69333.30000000002,56.4
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2021,106664.80000000002,144.8
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2022,151121.1,130
"I","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities","Организация проживания и общественного питания",2023,215923.8,130.9
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2012,145966.7,NA
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2013,150997.3,111.1
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2014,162218.4,110
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2015,170900.5,108.5
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2016,179238.8,106
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2017,185607.9,104.8
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2018,193574.59999999998,104.5
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2019,218429.7,113
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2020,235246.60000000003,107.2
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2021,258844.80000000002,109.1
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2022,381679.1,148.5
"J","Տեղեկատվություն և կապ","Information and communication","Информация и связь",2023,508475.3,134.5
"K","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities","Финансовая и страховая деятельность",2012,170434.2,NA
